organismo,organismo_limpio,estructura,entidad_indec
101 - Fundación Miguel Lillo,Fundación Miguel Lillo,administracion_descentralizada,Fundación Miguel Lillo
103 - Consejo Nacional de Investigaciones Científicas y Técnicas,Consejo Nacional de Investigaciones Científicas y Técnicas,administracion_descentralizada,Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)
105 - Comisión Nacional de Energía Atómica,Comisión Nacional de Energía Atómica,administracion_descentralizada,Comisión Nacional de Energía Atómica (CNEA)
106 - Comisión Nacional de Actividades Espaciales,Comisión Nacional de Actividades Espaciales,administracion_descentralizada,Comisión Nacional de Actividades Espaciales (CONAE)
107 - Administración de Parques Nacionales,Administración de Parques Nacionales,administracion_descentralizada,Administración de Parques Nacionales
108 - Instituto Nacional del Agua,Instituto Nacional del Agua,administracion_descentralizada,Instituto Nacional del Agua (INA)
109 - Sindicatura General de la Nación,Sindicatura General de la Nación,administracion_descentralizada,Sindicatura General de la Nación (SIGEN)
112 - Autoridad Regulatoria Nuclear,Autoridad Regulatoria Nuclear,administracion_descentralizada,Autoridad Regulatoria Nuclear (ARN)
113 - Teatro Nacional Cervantes,Teatro Nacional Cervantes,administracion_descentralizada,Teatro Nacional Cervantes (TNC)
114 - Instituto Nacional de Asociativismo y Economía Social,Instituto Nacional de Asociativismo y Economía Social,administracion_descentralizada,Instituto Nacional de Asociativismo y Economía Social (INAES)
116 - Biblioteca Nacional,Biblioteca Nacional,administracion_descentralizada,Biblioteca Nacional Dr. Mariano Moreno
117 - Instituto Nacional del Teatro,Instituto Nacional del Teatro,administracion_descentralizada,Instituto Nacional del Teatro (INT)
118 - Instituto Nacional de Asuntos Indígenas,Instituto Nacional de Asuntos Indígenas,administracion_descentralizada,Instituto Nacional de Asuntos Indígenas (INAI)
120 - Agencia de Deportes Nacional,Agencia de Deportes Nacional,administracion_descentralizada,
121 - Banco Nacional de Datos Genéticos,Banco Nacional de Datos Genéticos,administracion_descentralizada,Banco Nacional de Datos Genéticos (BNDG)
173 - AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN,AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN,administracion_descentralizada,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación"
200 - Registro Nacional de las Personas,Registro Nacional de las Personas,administracion_descentralizada,Registro Nacional de las Personas (RENAPER)
201 - Dirección Nacional de Migraciones,Dirección Nacional de Migraciones,administracion_descentralizada,Dirección Nacional de Migraciones (DNM)
202 - Instituto Nacional contra la Discriminación; Xenofobia y el Racismo,Instituto Nacional contra la Discriminación; Xenofobia y el Racismo,administracion_descentralizada,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo (INADI)"
202 - Instituto Nacional contra la Discriminación; la Xenofobia y el Racismo,Instituto Nacional contra la Discriminación; la Xenofobia y el Racismo,administracion_descentralizada,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo (INADI)"
203 - Agencia Nacional de Seguridad Vial,Agencia Nacional de Seguridad Vial,administracion_descentralizada,Agencia Nacional de Seguridad Vial (ANSV)
205 - Agencia de Administración de Bienes del Estado,Agencia de Administración de Bienes del Estado,administracion_descentralizada,Agencia de Administración de Bienes del Estado (AABE)
206 - Centro Internacional para la Promoción de los Derechos Humanos,Centro Internacional para la Promoción de los Derechos Humanos,administracion_descentralizada,Centro Internacional para la Promoción de los DD. HH. (CIPDH)
207 - Ente Nacional de Comunicaciones,Ente Nacional de Comunicaciones,administracion_descentralizada,Ente Nacional de Comunicaciones (ENACOM)
208 - Agencia Nacional de Materiales Controlados,Agencia Nacional de Materiales Controlados,administracion_descentralizada,
209 - Agencia de Acceso a la Información Pública,Agencia de Acceso a la Información Pública,administracion_descentralizada,Agencia de Acceso a la Información Pública (AAIP)
250 - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal,Caja de Retiros Jubilaciones y Pensiones de la Policía Federal,administracion_descentralizada,"Caja de Retiros, Jubilaciones y Pensiones de la P.F.A. (CRJPPF)"
301 - Secretaria General de la Presidencia de la Nación,Secretaria General de la Presidencia de la Nación,administracion_centralizada,
303 - Secretaría de Políticas Integrales Sobre Drogas de la Nación Argentina  (SEDRONAR),Secretaría de Políticas Integrales Sobre Drogas de la Nación Argentina  (SEDRONAR),administracion_centralizada,
303 - Secretaría de Políticas Integrales sobre Drogas,Secretaría de Políticas Integrales sobre Drogas,administracion_centralizada,
305 - Jefatura de Gabinete de Ministros,Jefatura de Gabinete de Ministros,administracion_centralizada,
307 - Ministerio de Relaciones Exteriores y Culto,Ministerio de Relaciones Exteriores y Culto,administracion_centralizada,
307 - Ministerio de Relaciones Exteriores; Comercio Internacional y Culto,Ministerio de Relaciones Exteriores; Comercio Internacional y Culto,administracion_centralizada,
310 - Ministerio de Salud,Ministerio de Salud,administracion_centralizada,
310 - Secretaría de Gobierno de Salud,Secretaría de Gobierno de Salud,administracion_centralizada,
311 - Desarrollo Humano y Economía Solidaria,Desarrollo Humano y Economía Solidaria,administracion_centralizada,
311 - Ministerio de Desarrollo Social,Ministerio de Desarrollo Social,administracion_centralizada,
311 - Ministerio de Salud y Desarrollo Social,Ministerio de Salud y Desarrollo Social,administracion_centralizada,
317 - Ministerio de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,administracion_centralizada,
317 - Ministerio de Ambiente y Desarrollo Sustentable,Ministerio de Ambiente y Desarrollo Sustentable,administracion_centralizada,
317 - Secretaría de Gobierno de Ambiente y Desarrollo Sustentable,Secretaría de Gobierno de Ambiente y Desarrollo Sustentable,administracion_centralizada,
321 - Instituto Nacional de Estadísticas y Censos,Instituto Nacional de Estadísticas y Censos,administracion_desconcentrada,Instituto Nacional de Estadística y Censos (INDEC)
322 - Ministerio de Turismo,Ministerio de Turismo,administracion_centralizada,
322 - Ministerio de Turismo y Deportes,Ministerio de Turismo y Deportes,administracion_centralizada,
322 - Secretaría de Gobierno de Turismo,Secretaría de Gobierno de Turismo,administracion_centralizada,
323 - Comision Nacional de Comercio Exterior,Comision Nacional de Comercio Exterior,administracion_desconcentrada,Comisión Nacional de Comercio Exterior (CNCE)
325 - Ministerio del Interior,Ministerio del Interior,administracion_centralizada,
325 - Ministerio del Interior; Obras Públicas y Vivienda,Ministerio del Interior; Obras Públicas y Vivienda,administracion_centralizada,
326 - Super Intendencia de la Administracion de la Policia Federal,Super Intendencia de la Administracion de la Policia Federal,administracion_descentralizada,"Caja de Retiros, Jubilaciones y Pensiones de la P.F.A. (CRJPPF)"
327 - Ministerio de Transporte,Ministerio de Transporte,administracion_centralizada,
328 - Secretaría de Energía,Secretaría de Energía,administracion_centralizada,
328 - Secretaría de Gobierno de Energía,Secretaría de Gobierno de Energía,administracion_centralizada,
330 - Ministerio de Educación,Ministerio de Educación,administracion_centralizada,
330 - Ministerio de Educación; Cultura; Ciencia y Tecnología,Ministerio de Educación; Cultura; Ciencia y Tecnología,administracion_centralizada,
330 - SECRETARIA DE EDUCACIÓN – MINISTERIO DE CAPITAL HUMANO,SECRETARIA DE EDUCACIÓN – MINISTERIO DE CAPITAL HUMANO,administracion_centralizada,
331 - Servicio Penitenciario Federal,Servicio Penitenciario Federal,administracion_descentralizada,
332 - Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,administracion_centralizada,
336 - SECRETARÍA DE INNOVACIÓN; CIENCIA Y TECNOLOGÍA,SECRETARÍA DE INNOVACIÓN; CIENCIA Y TECNOLOGÍA,administracion_centralizada,
336 - Secretaría de Gobierno de Ciencia; Tecnología e Innovación Productiva,Secretaría de Gobierno de Ciencia; Tecnología e Innovación Productiva,administracion_centralizada,
337 - Secretaría de Cultura,Secretaría de Cultura,administracion_centralizada,
337 - Secretaría de Gobierno de Cultura,Secretaría de Gobierno de Cultura,administracion_centralizada,
338 - Secretaria Legal y Técnica,Secretaria Legal y Técnica,administracion_centralizada,
341 - Secretaría Nacional de Niñez; Adolescencia y Familia,Secretaría Nacional de Niñez; Adolescencia y Familia,administracion_descentralizada,
343 - Ministerio de Seguridad,Ministerio de Seguridad,administracion_centralizada,
345 - Consejo Nacional de Coordinación de Politicas Sociales,Consejo Nacional de Coordinación de Politicas Sociales,administracion_desconcentrada,Consejo Nacional de Coordinación de Políticas Sociales (CNCPS)
347 - Secretaría de Gobierno del Sistema Federal de Medios y Contenidos Públicos,Secretaría de Gobierno del Sistema Federal de Medios y Contenidos Públicos,administracion_centralizada,
347 - Secretaría de Medios y Comunicación Pública,Secretaría de Medios y Comunicación Pública,administracion_centralizada,
349 - Procuración del Tesoro de la Nación,Procuración del Tesoro de la Nación,administracion_desconcentrada,Procuración del Tesoro de la Nación (PTN)
350 - Ministerio de Trabajo; Empleo y Seguridad Social,Ministerio de Trabajo; Empleo y Seguridad Social,administracion_centralizada,
350 - Secretaría de Gobierno de Trabajo y Empleo,Secretaría de Gobierno de Trabajo y Empleo,administracion_centralizada,
357 - Ministerio de Economía,Ministerio de Economía,administracion_centralizada,
357- Ministerio de Hacienda,Ministerio de Hacienda,administracion_centralizada,
362 - Ministerio de Desarrollo Productivo,Ministerio de Desarrollo Productivo,administracion_centralizada,
362 - Ministerio de Producción,Ministerio de Producción,administracion_centralizada,
362 - Ministerio de Producción y Trabajo,Ministerio de Producción y Trabajo,administracion_centralizada,
363 - Ministerio de Agricultura; Ganadería y Pesca,Ministerio de Agricultura; Ganadería y Pesca,administracion_centralizada,
363 - Secretaría de Gobierno de Agroindustria,Secretaría de Gobierno de Agroindustria,administracion_centralizada,
364-Ministerio de Obras Públicas,Ministerio de Obras Públicas,administracion_centralizada,
365-Ministerio de Desarrollo Territorial y Hábitat,Ministerio de Desarrollo Territorial y Hábitat,administracion_centralizada,
366 - Ministerio de Modernización,Ministerio de Modernización,administracion_centralizada,
366 - Secretaría de Gobierno de Modernización,Secretaría de Gobierno de Modernización,administracion_centralizada,
366 - Secretaría de Innovación Pública,Secretaría de Innovación Pública,administracion_centralizada,
368 - SECRETARÍA DE COMUNICACIÓN Y MEDIOS DE LA PRESIDENCIA DE LA NACIÓN,SECRETARÍA DE COMUNICACIÓN Y MEDIOS DE LA PRESIDENCIA DE LA NACIÓN,administracion_centralizada,
370 - Ministerio de Defensa,Ministerio de Defensa,administracion_centralizada,
371 - Estado Mayor Conjunto (EMCO),Estado Mayor Conjunto (EMCO),administracion_desconcentrada,Estado Mayor Conjunto de las Fuerzas Armadas
372 - Instituto de Investigaciones Científicas y Técnicas para la Defensa,Instituto de Investigaciones Científicas y Técnicas para la Defensa,administracion_descentralizada,
374 - Estado Mayor General del Ejercito,Estado Mayor General del Ejercito,administracion_desconcentrada,Estado Mayor General del Ejército Argentino
375 - Gendarmeria Nacional,Gendarmeria Nacional,administracion_desconcentrada,Gendarmería Nacional Argentina
376 - Subsecreataría de Planeamiento Operativo y Servicio Logístico de la Defensa,Subsecreataría de Planeamiento Operativo y Servicio Logístico de la Defensa,administracion_centralizada,
376 - Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,administracion_centralizada,
377 - INFRAESTRUCTURA ECONOMICA Y SOCIAL,INFRAESTRUCTURA ECONOMICA Y SOCIAL,otro,
379 - Estado Mayor General de la Armada,Estado Mayor General de la Armada,administracion_desconcentrada,Estado Mayor General de la Armada Argentina
380 - Prefectura Naval Argentina,Prefectura Naval Argentina,administracion_desconcentrada,Prefectura Naval Argentina
381 - Estado Mayor General de La Fuerza Aérea,Estado Mayor General de La Fuerza Aérea,administracion_desconcentrada,Estado Mayor General de la Fuerza Aérea
382 - Policia de Seguridad Aeroportuaria,Policia de Seguridad Aeroportuaria,administracion_desconcentrada,Policía de Seguridad Aeroportuaria (PSA)
