unidad_ejecutora_id,unidad_ejecutora_desc
1,dummy
2,Secretaría de Asuntos Registrales
4,Presidencia del Instituto Nacional de Vitivinicultura
5,Administración Nacional de Laboratorios e Instit. de Salud (ANLIS) Dr. Carlos G. Malbrán
6,"Administración Nacional de Medicamentos, Alimentos y Tecnología Médica"
8,Administración de Programas Especiales
9,Dirección de Modelos y Diseños Industriales
10,Agrupación Albatros
11,Dirección de Transferencia de Tecnología
12,Auditoría General de la Nación
13,Autoridad Regulatoria Nuclear
14,Banco Nacional de Drogas Oncológicas
15,Subsecretaría de Energía Eléctrica
16,Biblioteca Nacional
18,Biblioteca del Congreso de la Nación
19,Subsecretaría de Industrias Culturales
20,Centro Nacional de Reeducación Social (CE.NA.RE.SO.)
21,CITEFA
22,Consejo Nacional de Investigaciones Científicas y Técnicas
23,"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal"
24,"Caja de Retiros,Pensiones y Jubilaciones de la Pol.Federal"
25,Cámara Bahía Blanca
26,Cámara Civil
27,Cámara Civil y Comercial Federal
28,Cámara Comercial
29,Cámara Contenciosa
31,Cámara Criminal y Correccional
32,Cámara Criminal y Correccional Federal
33,Dirección Ejecutiva
35,Cámara Federal de la Seguridad Social
36,Cámara Mar del Plata
37,Cámara Nacional Electoral
38,Cámara Federal de Casación Penal
39,Cámara de Comodoro Rivadavia
40,Cámara de Córdoba
41,Cámara de Corrientes
42,Cámara de General Roca
43,Cámara de Mar del Plata
44,Cámara de Mendoza
45,Cámara de Paraná
46,Cámara de Posadas
47,Cámara de Resistencia
48,Cámara de Rosario
49,Cámara de Salta
50,Cámara de San Martín
51,Cámara de Tucumán
52,Cámara de la Plata
53,Cámara del Trabajo
54,Subsecretaría de Asuntos Penitenciarios
57,Capitanía de Armamento
58,Casa Militar
59,Centro Nacional de Control de Calidad de Biológicos
60,Subsecretaría de Política Criminal
61,Centro Nacional de Diagnóstico e Investigación de Endemo-Epidemias
62,Centro Nacional de Genética Médica
63,Centro Nacional de Investigaciones Nutricionales
64,Dirección Nacional de Readaptación
65,Centro Nacional de Red de Laboratorios
66,"Subsecretaría de Derechos para la Niñez, Adolescencia y Familia"
67,Subsecretaría de Desarrollo Institucional e Integración Federal
68,Dirección Nacional de Políticas para Adultos Mayores
69,Unidad Ejecutora del Préstamo BID 1950/OC-AR
70,Unidad Ejecutora del Préstamo BIRF 7425/AR
71,Colegio de Auditores Generales
