"categoria","n","dim.1","dim.2","dim.3","ctr.dim.1","ctr.dim.2","ctr.dim.3","cos2.dim.1","cos2.dim.2","cos2.dim.3"
"A_escala.chica",41,-0.33,-0.91,-0.35,1.5,12.3,2.9,0.054,0.415,0.061
"A_escala.grande",40,-0.14,0.91,0.25,0.3,12.2,1.4,0.01,0.408,0.03
"A_escala.media",40,0.47,0,0.14,3.1,0,0.5,0.11,0,0.009
"A_directa.mayoria_directa",54,0.29,-0.75,-0.39,1.6,11.2,4.8,0.067,0.45,0.122
"A_directa.mixto",65,-0.25,0.61,0.39,1.4,8.9,5.8,0.073,0.427,0.175
"A_tipo.administracion",51,0.37,0.21,0.29,2.5,0.9,2.4,0.101,0.033,0.058
"A_tipo.ciencia_universidad",15,0.52,-0.8,0.58,1.4,3.5,2.9,0.038,0.091,0.047
"A_tipo.cultura_educacion",7,0.39,-0.3,-1.08,0.4,0.2,4.8,0.009,0.005,0.071
"A_tipo.infraestructura",7,-0.66,0.54,-1.84,1.1,0.7,13.8,0.027,0.018,0.206
"A_tipo.salud_social",24,0.19,0.32,-0.29,0.3,0.9,1.2,0.009,0.024,0.02
"A_tipo.seguridad_defensa",18,-1.64,-0.45,0.23,16.8,1.3,0.6,0.468,0.035,0.009
"A_fundacion.antiguo",43,-0.78,-0.22,0.32,8.9,0.7,2.6,0.329,0.026,0.055
"A_fundacion.medio",42,0.59,-0.39,0.13,5.1,2.4,0.4,0.185,0.082,0.009
"A_fundacion.reciente",37,0.23,0.7,-0.52,0.7,6.6,5.8,0.023,0.214,0.118
"A_anclaje.multi_sede",10,-2.29,-1.43,-0.17,18,7.5,0.2,0.466,0.183,0.003
"A_anclaje.una_sede",107,0.2,0.16,0,1.4,1.1,0,0.279,0.192,0
"A_institucional.administracion_centralizada",32,-0.25,1.09,-0.35,0.7,13.8,2.2,0.022,0.421,0.043
"A_institucional.administracion_descentralizada",74,0.41,-0.32,0.14,4.4,2.8,0.9,0.265,0.162,0.032
"A_institucional.administracion_desconcentrada",11,-1.82,-0.84,0.7,12.6,2.8,3.1,0.329,0.069,0.048
"A_presupuesto.alto",35,-0.95,0.42,-0.31,10.8,2.3,2,0.362,0.073,0.039
"A_presupuesto.bajo",36,0.73,-0.72,-0.1,6.7,6.9,0.2,0.226,0.218,0.005
"A_presupuesto.medio",35,0.18,0.17,1.06,0.4,0.4,23,0.013,0.012,0.454
"A_presupuesto.sin_presupuesto",16,0.02,0.32,-1.41,0,0.6,18.5,0,0.016,0.299
