"eje","decil","n","posicion","ground","share","lo","hi"
"axis1",1,1053,-1.045,"exclusividad",0.57,0.26,1.24
"axis1",1,1053,-1.045,"especialidad",0.57,0.26,1.24
"axis1",2,1053,-0.719,"exclusividad",0.95,0.52,1.74
"axis1",2,1053,-0.719,"especialidad",0.66,0.32,1.37
"axis1",3,1053,-0.584,"exclusividad",2.28,1.54,3.37
"axis1",3,1053,-0.584,"especialidad",1.52,0.94,2.45
"axis1",4,1053,-0.321,"exclusividad",2.75,1.92,3.93
"axis1",4,1053,-0.321,"especialidad",1.52,0.94,2.45
"axis1",5,1053,-0.021,"exclusividad",5.32,4.12,6.84
"axis1",5,1053,-0.021,"especialidad",3.04,2.16,4.26
"axis1",6,1053,0.303,"exclusividad",10.45,8.74,12.44
"axis1",6,1053,0.303,"especialidad",5.6,4.37,7.16
"axis1",7,1053,0.545,"exclusividad",19.47,17.19,21.97
"axis1",7,1053,0.545,"especialidad",8.36,6.83,10.18
"axis1",8,1053,0.719,"exclusividad",11.97,10.14,14.07
"axis1",8,1053,0.719,"especialidad",5.7,4.45,7.27
"axis1",9,1053,1.082,"exclusividad",9.31,7.7,11.21
"axis1",9,1053,1.082,"especialidad",14.72,12.71,16.99
"axis1",10,1052,2.741,"exclusividad",17.3,15.13,19.7
"axis1",10,1052,2.741,"especialidad",1.05,0.58,1.86
"axis2",1,1053,-2.994,"exclusividad",14.15,12.17,16.39
"axis2",1,1053,-2.994,"especialidad",13.49,11.55,15.68
"axis2",2,1053,-0.682,"exclusividad",17.85,15.66,20.28
"axis2",2,1053,-0.682,"especialidad",9.31,7.7,11.21
"axis2",3,1053,-0.453,"exclusividad",8.93,7.35,10.8
"axis2",3,1053,-0.453,"especialidad",5.03,3.87,6.52
"axis2",4,1053,-0.278,"exclusividad",7.98,6.49,9.77
"axis2",4,1053,-0.278,"especialidad",4.18,3.13,5.56
"axis2",5,1053,-0.182,"exclusividad",3.99,2.96,5.35
"axis2",5,1053,-0.182,"especialidad",2.09,1.38,3.14
"axis2",6,1053,-0.099,"exclusividad",4.84,3.7,6.31
"axis2",6,1053,-0.099,"especialidad",2.18,1.46,3.26
"axis2",7,1053,-0.018,"exclusividad",2.75,1.92,3.93
"axis2",7,1053,-0.018,"especialidad",1.42,0.87,2.34
"axis2",8,1053,0.039,"exclusividad",4.18,3.13,5.56
"axis2",8,1053,0.039,"especialidad",1.52,0.94,2.45
"axis2",9,1053,0.171,"exclusividad",4.37,3.29,5.78
"axis2",9,1053,0.171,"especialidad",1.71,1.08,2.69
"axis2",10,1052,1.488,"exclusividad",11.31,9.54,13.37
"axis2",10,1052,1.488,"especialidad",1.81,1.16,2.8
