"ground","tipo","adjudicaciones","pct"
"especialidad","administracion",424,50.8
"especialidad","cultura_educacion",117,14
"especialidad","seguridad_defensa",116,13.9
"especialidad","ciencia_universidad",91,10.9
"especialidad","salud_social",51,6.1
"especialidad","infraestructura",36,4.3
"exclusividad","administracion",840,28.8
"exclusividad","salud_social",572,19.6
"exclusividad","cultura_educacion",495,16.9
"exclusividad","ciencia_universidad",451,15.4
"exclusividad","seguridad_defensa",403,13.8
"exclusividad","infraestructura",159,5.4
"exclusividad",NA,1,0
