"medida","valor"
"named suppliers",1224
"named by one organ only, %",83.8
"named by two or three organs, %",13
"named by four organs or more, %",3.2
"median organs buying from a named supplier",1
"five years or more in the register, named, %",36.4
"five years or more, exempted on the amount alone, %",32.4
"five years or more, never exempted, %",14.3
"twenty awards or more, named, %",13.6
"twenty awards or more, not named, %",11.5
"named on exclusivity, suppliers",846
"named on exclusivity, by one organ only, %",80.1
"named on speciality, suppliers",450
"named on speciality, by one organ only, %",94.4
