"jurisdiccion","n_en_test","coef_vs_capital","se","p","lo","hi"
"Formosa",9,-0.2265,0.0372,0,-0.2994,-0.1536
"Chaco",10,-0.1677,0.0351,0,-0.2365,-0.0989
"San Juan",7,-0.1639,0.0418,1e-04,-0.2458,-0.082
"Chubut",13,-0.1469,0.0315,0,-0.2086,-0.0852
"Misiones",16,-0.1435,0.0291,0,-0.2005,-0.0865
"Tucumán",5,-0.1399,0.0481,0.0039,-0.2342,-0.0456
"Santa Fe",11,-0.1318,0.0338,1e-04,-0.198,-0.0656
"Río Negro",7,-0.1261,0.0412,0.0024,-0.2069,-0.0453
"La Rioja",4,-0.1214,0.0536,0.0242,-0.2265,-0.0163
"Santa Cruz",16,-0.1121,0.0294,2e-04,-0.1697,-0.0545
"Mendoza",10,-0.1054,0.0346,0.0025,-0.1732,-0.0376
"Jujuy",6,-0.1002,0.044,0.0235,-0.1864,-0.014
"Catamarca",5,-0.0981,0.0479,0.0416,-0.192,-0.0042
"Entre Ríos",9,-0.0951,0.037,0.0107,-0.1676,-0.0226
"Córdoba",19,-0.0936,0.0273,7e-04,-0.1471,-0.0401
"Corrientes",11,-0.0878,0.0346,0.0116,-0.1556,-0.02
"Santiago del Estero",4,-0.0829,0.0537,0.1238,-0.1882,0.0224
"Neuquén",11,-0.0807,0.0333,0.016,-0.146,-0.0154
"La Pampa",2,-0.0804,0.0746,0.2819,-0.2266,0.0658
"Salta",13,-0.0803,0.0318,0.0121,-0.1426,-0.018
"Tierra del Fuego",7,-0.0679,0.041,0.0988,-0.1483,0.0125
"San Luis",3,-0.0445,0.0624,0.4766,-0.1668,0.0778
"Buenos Aires",64,-0.0428,0.0175,0.0152,-0.0771,-0.0085
