"uoc_id","saf_id","sede_provincia","tipo","rubro_modal","anclado","n_adj","n_sup","acceso","contenido","uA1","uA2","n_sedes","N_distribuido","N_tamano","N_juris","N_fundacion","N_rango","N_presupuesto","S_escala","S_directa"
"101|98/00 - Dir. Compras",101,"Tucumán","ciencia_universidad","ELECTRICIDAD Y TELEFONIA",FALSE,384,194,0.0913760609081057,-0.463123433130391,0.984732340905852,0.104012428752526,1,"una_sede","grande","Tucumán","antiguo","descentralizada","bajo","chica","mayoria_directa"
"103|91/00 - Departamento de Compras; Mantenimiento y Suministros",103,"CABA","ciencia_universidad","ARTICULOS DEL HOGAR",FALSE,107,77,0.179231850231006,-0.428392179902465,1.08178159933574,0.343057649691096,1,"una_sede","media","CABA","medio","descentralizada","alto","media","mayoria_directa"
"105|14 - Compras y Contrataciones - CNEA",105,"CABA","ciencia_universidad","EQUIPOS",FALSE,1214,517,0.259770549017032,-0.379205224828069,0.538777498553331,0.230328672503097,4,"distribuido","grande","CABA","medio","descentralizada","alto","media","mayoria_directa"
"105|14/1 - Centro Atómico Constituyentes - CNEA",105,"Buenos Aires","ciencia_universidad","EQUIPOS",FALSE,838,325,0.322480392035533,-0.320752632840152,0.224936867864109,0.311620818114521,4,"distribuido","grande","Buenos Aires","medio","descentralizada","alto","media","mayoria_directa"
"105|14/2 - Centro Atómico Ezeiza - CNEA",105,"Buenos Aires","ciencia_universidad","EQUIPOS",FALSE,1236,460,0.231725001547306,-0.429728139504836,0.224936867864095,0.311620818114509,4,"distribuido","grande","Buenos Aires","medio","descentralizada","alto","media","mayoria_directa"
"105|14/3 - Centro Atómico Bariloche - CNEA",105,"Río Negro","ciencia_universidad","ELECTRICIDAD Y TELEFONIA",FALSE,1765,476,0.218630194528035,-0.502181570000199,0.358893067840252,0.368102982401941,4,"distribuido","grande","Río Negro","medio","descentralizada","alto","media","mayoria_directa"
"106|15 - Subgerencia de Compras y Contrataciones",106,"CABA","ciencia_universidad","SERV. PROFESIONAL Y COMERCIAL",FALSE,655,333,0.423459730999053,-0.231204310953808,1.26718549707743,0.624638513991149,1,"una_sede","grande","CABA","medio","descentralizada","medio","grande","mixto"
"107|74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES",107,"CABA","administracion","EQUIPOS",TRUE,431,224,0.368325607771122,-0.195448581414183,0.248605053839868,0.461576518421028,48,"distribuido","grande","CABA","antiguo","descentralizada","medio","grande","mixto"
"107|74/003 - Parque Nacional Lanin",107,"Neuquén","administracion","ELECTRICIDAD Y TELEFONIA",TRUE,297,174,0.0510859178694646,-0.433386804958779,0.092795893057066,0.835710986878264,48,"distribuido","media","Neuquén","antiguo","descentralizada","medio","media","mixto"
"107|74/01 - Departamento de Administracion  - Parque Nacional Nahuel Huapi",107,"Río Negro","administracion","EQUIPOS",TRUE,333,167,0.0210343772057132,-0.389754054604758,0.092795893057065,0.835710986878269,48,"distribuido","media","Río Negro","antiguo","descentralizada","medio","grande","mixto"
"107|74/02 - IGUAZU- OFICINA DE ADMINISTRACION",107,"Misiones","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,206,89,-0.00129524760356872,-0.439018178017468,0.0927958930570577,0.835710986878248,48,"distribuido","media","Misiones","antiguo","descentralizada","medio","media","mixto"
"107|74/04 - Parque Nacional Los Alerces",107,"Chubut","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,177,99,-0.0127111137143554,-0.419522541439438,0.0927958930570654,0.835710986878271,48,"distribuido","media","Chubut","antiguo","descentralizada","medio","grande","mixto"
"107|74/05 - Parque Nacional El Rey",107,"Salta","administracion","REPUESTOS",TRUE,46,39,0.162646350991089,-0.589056372767265,0.000951686156486624,0.926919990785585,48,"distribuido","chica","Salta","antiguo","descentralizada","medio","chica","sin_directa"
"107|74/07 - INTENDENCIA TIERRA DEL FUEGO",107,"Tierra del Fuego","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,32,21,0.148780927934712,-0.325108557211171,0.000951686156487084,0.926919990785585,48,"distribuido","chica","Tierra del Fuego","antiguo","descentralizada","medio","media","mixto"
"107|74/09 - INTENDENCIA LAGO PUELO",107,"Chubut","administracion","EQUIPOS",TRUE,111,70,-0.00895217092293344,-0.469703958475209,0.0927958930570652,0.835710986878269,48,"distribuido","media","Chubut","antiguo","descentralizada","medio","chica","mixto"
"107|74/10 - INTENDENCIA EL PALMAR",107,"Entre Ríos","administracion","EQUIPOS",TRUE,219,128,0.0950380007845628,-0.559917638810345,0.0927958930570651,0.835710986878269,48,"distribuido","media","Entre Ríos","antiguo","descentralizada","medio","media","mixto"
"107|74/11 - Dirección Regional Patagonia Norte - APN",107,"Río Negro","administracion","INFORMATICA",TRUE,81,54,-0.0518643787588029,-0.567311889721762,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Río Negro","antiguo","descentralizada","medio","chica","mixto"
"107|74/13 - PARQUE NACIONAL CAMPO DE LOS ALISOS",107,"Tucumán","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,37,26,-0.1268017041881,-0.510847764571544,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Tucumán","antiguo","descentralizada","medio","media","mixto"
"107|74/15 - Parque Nacional Sierra de las Quijadas - Dpto. Administracion",107,"San Luis","administracion","EQUIPOS",TRUE,77,51,0.0676612989018392,-0.569983379216883,0.000951686156486883,0.926919990785585,48,"distribuido","chica","San Luis","antiguo","descentralizada","medio","chica","mixto"
"107|74/16 - Delegación Centro DRC - APN",107,"CABA","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,36,21,-0.14093981481163,-0.226349288481949,0.18083611686955,0.789145680886742,48,"distribuido","chica","CABA","antiguo","descentralizada","medio","media","mixto"
"107|74/17 - Parque Nacional Talampaya",107,"La Rioja","administracion","EQUIPOS",TRUE,167,71,0.000474699038456034,-0.627025929801308,0.0927958930570651,0.835710986878269,48,"distribuido","media","La Rioja","antiguo","descentralizada","medio","media","sin_directa"
"107|74/18 - CENTRO DE FORMACION Y CAPACITACION EMBALSE",107,"Córdoba","administracion","ARTICULOS DEL HOGAR",TRUE,65,49,0.00468061689313374,-0.370551311802743,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Córdoba","antiguo","descentralizada","medio","media","mixto"
"107|74/19 - Parque Nacional El Leoncito",107,"San Juan","administracion","REPUESTOS",TRUE,87,64,-0.0920163790245483,-0.59420156818879,0.000951686156486883,0.926919990785585,48,"distribuido","chica","San Juan","antiguo","descentralizada","medio","chica","mixto"
"107|74/20 - Parque Nacional Quebrada del Condorito",107,"Córdoba","administracion","EQUIPOS",TRUE,129,74,-0.029493651690489,-0.520486198808058,0.0927958930570651,0.835710986878269,48,"distribuido","media","Córdoba","antiguo","descentralizada","medio","media","mixto"
"107|74/21 - Monumento Natural Laguna de los Pozuelos",107,"Jujuy","administracion","EQUIPOS",TRUE,35,27,-0.0508910845213594,-0.481171869725304,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Jujuy","antiguo","descentralizada","medio","media","sin_directa"
"107|74/24 - Direccion Regional NEA",107,"Misiones","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,40,28,-0.0956514499937971,-0.461952781388609,0.000951686156486883,0.926919990785585,48,"distribuido","chica","Misiones","antiguo","descentralizada","medio","chica","sin_directa"
