"decil","n","posicion","ground","share","eje","lo","hi"
1,1053,-1.045,"consagrado",1.14,"axis1",0.65,1.98
1,1053,-1.045,"solo_aritmetico",60.3,"axis1",57.32,63.22
2,1053,-0.719,"consagrado",1.52,"axis1",0.94,2.45
2,1053,-0.719,"solo_aritmetico",61.44,"axis1",58.47,64.34
3,1053,-0.584,"consagrado",3.51,"axis1",2.56,4.81
3,1053,-0.584,"solo_aritmetico",56.41,"axis1",53.4,59.38
4,1053,-0.321,"consagrado",3.7,"axis1",2.72,5.02
4,1053,-0.321,"solo_aritmetico",58.69,"axis1",55.69,61.63
5,1053,-0.021,"consagrado",7.31,"axis1",5.89,9.04
5,1053,-0.021,"solo_aritmetico",61.44,"axis1",58.47,64.34
6,1053,0.303,"consagrado",15.1,"axis1",13.06,17.39
6,1053,0.303,"solo_aritmetico",56.79,"axis1",53.78,59.75
7,1053,0.545,"consagrado",26.78,"axis1",24.19,29.54
7,1053,0.545,"solo_aritmetico",42.26,"axis1",39.31,45.27
8,1053,0.719,"consagrado",16.14,"axis1",14.05,18.49
8,1053,0.719,"solo_aritmetico",48.05,"axis1",45.05,51.07
9,1053,1.082,"consagrado",22.89,"axis1",20.45,25.52
9,1053,1.082,"solo_aritmetico",49.48,"axis1",46.47,52.49
10,1052,2.741,"consagrado",18.16,"axis1",15.94,20.6
10,1052,2.741,"solo_aritmetico",47.72,"axis1",44.71,50.74
1,1053,-2.994,"consagrado",26.88,"axis2",24.29,29.63
1,1053,-2.994,"solo_aritmetico",47.29,"axis2",44.29,50.31
2,1053,-0.682,"consagrado",26.12,"axis2",23.55,28.85
2,1053,-0.682,"solo_aritmetico",41.6,"axis2",38.65,44.6
3,1053,-0.453,"consagrado",12.73,"axis2",10.85,14.87
3,1053,-0.453,"solo_aritmetico",48.53,"axis2",45.52,51.55
4,1053,-0.278,"consagrado",11.59,"axis2",9.79,13.66
4,1053,-0.278,"solo_aritmetico",60.78,"axis2",57.8,63.68
5,1053,-0.182,"consagrado",5.51,"axis2",4.28,7.05
5,1053,-0.182,"solo_aritmetico",56.41,"axis2",53.4,59.38
6,1053,-0.099,"consagrado",6.17,"axis2",4.87,7.79
6,1053,-0.099,"solo_aritmetico",58.59,"axis2",55.59,61.53
7,1053,-0.018,"consagrado",3.51,"axis2",2.56,4.81
7,1053,-0.018,"solo_aritmetico",69.23,"axis2",66.38,71.94
8,1053,0.039,"consagrado",5.51,"axis2",4.28,7.05
8,1053,0.039,"solo_aritmetico",61.35,"axis2",58.37,64.24
9,1053,0.171,"consagrado",5.51,"axis2",4.28,7.05
9,1053,0.171,"solo_aritmetico",52.52,"axis2",49.5,55.52
10,1052,1.488,"consagrado",12.74,"axis2",10.86,14.89
10,1052,1.488,"solo_aritmetico",46.29,"axis2",43.3,49.31
