"organismo","n_adj","tipo","anclaje_flag","med_real","share_directa","min_ej","n_loc","med_km","n_geo","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_alcance"
"101 - Fundación Miguel Lillo",384,"ciencia_universidad",FALSE,1233117.19834313,0.864583333333333,2018,NA,NA,NA,"chica","mayoria_directa","ciencia_universidad","pre2019",NA,NA
"103 - Consejo Nacional de Investigaciones Científicas y Técnicas",107,"ciencia_universidad",FALSE,2602464.50709653,0.803738317757009,2018,1,0,107,"chica","mayoria_directa","ciencia_universidad","pre2019","bajo","corto"
"105 - Comisión Nacional de Energía Atómica",5077,"ciencia_universidad",FALSE,2430693.36428967,0.734094937955486,2018,4,28.5981641553281,4987,"chica","mayoria_directa","ciencia_universidad","pre2019","alto","largo"
"106 - Comisión Nacional de Actividades Espaciales",661,"ciencia_universidad",FALSE,8367549.44,0.46142208774584,2018,1,0,653,"media","mixto","ciencia_universidad","pre2019","bajo","corto"
"107 - Administración de Parques Nacionales",5414,"administracion",TRUE,1867160.10979441,0.0443295160694496,2018,18,450.855231174589,2103,"chica","mixto","administracion","pre2019","alto","largo"
"108 - Instituto Nacional del Agua",330,"ciencia_universidad",FALSE,5976734.60197165,0.0181818181818182,2019,NA,NA,NA,"media","mixto","ciencia_universidad","2019_21",NA,NA
"109 - Sindicatura General de la Nación",333,"administracion",FALSE,2171178.32883828,0.726726726726727,2016,1,0,330,"chica","mayoria_directa","administracion","pre2019","bajo","corto"
"112 - Autoridad Regulatoria Nuclear",737,"ciencia_universidad",FALSE,2317902.18703783,0.492537313432836,2017,1,0,730,"chica","mixto","ciencia_universidad","pre2019","bajo","corto"
"113 - Teatro Nacional Cervantes",731,"cultura_educacion",FALSE,1481057.78782845,0.785225718194254,2018,1,0,725,"chica","mayoria_directa","cultura_educacion","pre2019","bajo","corto"
"114 - Instituto Nacional de Asociativismo y Economía Social",238,"administracion",FALSE,4800000,0.247899159663866,2017,1,0,236,"media","mixto","administracion","pre2019","bajo","corto"
"116 - Biblioteca Nacional",521,"cultura_educacion",FALSE,7925287,0.64299424184261,2018,1,0,511,"media","mayoria_directa","cultura_educacion","pre2019","bajo","corto"
"117 - Instituto Nacional del Teatro",81,"cultura_educacion",FALSE,4554863.16215242,0.617283950617284,2018,1,0,81,"media","mayoria_directa","cultura_educacion","pre2019","bajo","corto"
"118 - Instituto Nacional de Asuntos Indígenas",15,"salud_social",FALSE,21113523.1657199,0.533333333333333,2017,1,0,15,"grande","mayoria_directa","salud_social","pre2019","bajo","corto"
"120 - Agencia de Deportes Nacional",34,"administracion",FALSE,12142000.8992225,0.411764705882353,2019,1,0,34,"grande","mixto","administracion","2019_21","bajo","corto"
"121 - Banco Nacional de Datos Genéticos",220,"ciencia_universidad",FALSE,5553485.88065292,0.463636363636364,2020,1,0,220,"media","mixto","ciencia_universidad","2019_21","bajo","corto"
"173 - AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN",54,"ciencia_universidad",FALSE,7013708.42096481,0.462962962962963,2022,1,0,54,"media","mixto","ciencia_universidad","2022plus","bajo","corto"
"200 - Registro Nacional de las Personas",298,"administracion",FALSE,50682201.9781478,0.248322147651007,2017,1,0,294,"grande","mixto","administracion","pre2019","bajo","corto"
"201 - Dirección Nacional de Migraciones",629,"administracion",TRUE,15620218.5230045,0.189189189189189,2017,1,0,616,"grande","mixto","administracion","pre2019","bajo","corto"
"202 - Instituto Nacional contra la Discriminación; Xenofobia y el Racismo",32,"administracion",FALSE,4153132.28013264,0.875,2017,1,0,32,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"202 - Instituto Nacional contra la Discriminación; la Xenofobia y el Racismo",86,"administracion",FALSE,4526207.6070364,0.825581395348837,2020,1,0,86,"media","mayoria_directa","administracion","2019_21","bajo","corto"
"203 - Agencia Nacional de Seguridad Vial",152,"administracion",FALSE,18478656.6478381,0.460526315789474,2018,1,0,152,"grande","mixto","administracion","pre2019","bajo","corto"
"205 - Agencia de Administración de Bienes del Estado",354,"administracion",FALSE,12689084.7240433,0.358757062146893,2016,1,0,285,"grande","mixto","administracion","pre2019","bajo","corto"
"206 - Centro Internacional para la Promoción de los Derechos Humanos",42,"administracion",FALSE,6444250.78680842,0.904761904761905,2018,1,0,42,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"207 - Ente Nacional de Comunicaciones",374,"administracion",FALSE,13250983.8105518,0.328877005347594,2017,1,0,365,"grande","mixto","administracion","pre2019","bajo","corto"
"208 - Agencia Nacional de Materiales Controlados",138,"administracion",FALSE,9600000,0.623188405797101,2017,1,0,138,"media","mayoria_directa","administracion","pre2019","bajo","corto"
"209 - Agencia de Acceso a la Información Pública",93,"administracion",FALSE,4499133.33784893,0.602150537634409,2019,1,0,93,"media","mayoria_directa","administracion","2019_21","bajo","corto"
"250 - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal",302,"seguridad_defensa",FALSE,2089185.5604247,0.473509933774834,2018,1,0,299,"chica","mixto","seguridad_defensa","pre2019","bajo","corto"
"301 - Secretaria General de la Presidencia de la Nación",805,"administracion",FALSE,10637284.7002921,0.46583850931677,2016,1,0,798,"grande","mixto","administracion","pre2019","bajo","corto"
"303 - Secretaría de Políticas Integrales Sobre Drogas de la Nación Argentina  (SEDRONAR)",281,"salud_social",FALSE,3783822.53479835,0.697508896797153,2020,1,0,277,"chica","mayoria_directa","salud_social","2019_21","bajo","corto"
"303 - Secretaría de Políticas Integrales sobre Drogas",132,"salud_social",FALSE,1395551.25267032,0.871212121212121,2017,1,0,132,"chica","mayoria_directa","salud_social","pre2019","bajo","corto"
"305 - Jefatura de Gabinete de Ministros",905,"administracion",FALSE,10456527.0021865,0.425414364640884,2016,1,0,898,"grande","mixto","administracion","pre2019","bajo","corto"
"307 - Ministerio de Relaciones Exteriores y Culto",164,"administracion",FALSE,3555406.96765865,0.634146341463415,2016,1,0,163,"chica","mayoria_directa","administracion","pre2019","bajo","corto"
"307 - Ministerio de Relaciones Exteriores; Comercio Internacional y Culto",680,"administracion",FALSE,4559854.9596395,0.489705882352941,2020,1,0,673,"media","mixto","administracion","2019_21","bajo","corto"
"310 - Ministerio de Salud",781,"salud_social",FALSE,234500000,0.418693982074264,2017,1,0,780,"grande","mixto","salud_social","pre2019","bajo","corto"
"310 - Secretaría de Gobierno de Salud",212,"salud_social",FALSE,317948241.535747,0.287735849056604,2017,1,0,212,"grande","mixto","salud_social","pre2019","bajo","corto"
