"categoria","dim1","dim2","ctr1","ctr2"
"A_registro.reg22plus",-0.263,-0.96,0.7,10.5
"A_personeria.PersFisica",-0.106,-0.826,0.3,17.8
"A_directa.mayoria_directa",0.413,-0.527,4.4,7.6
"A_rubro.ALQUILER",1.789,-0.51,16.8,1.4
"A_escala.chica",-0.649,-0.464,8.3,4.5
"A_personeria.OtraForma",1.024,-0.458,5.8,1.2
"A_registro.reg19_21",0.474,-0.392,3.7,2.7
"A_rubro.MANT. REPARACION Y",-0.127,-0.27,0.2,0.9
"A_rubro.ALIMENTOS",-0.665,-0.256,1.6,0.3
"A_cliente.seguridad_defensa",-0.783,-0.204,14.2,1
"A_escala.media",-0.136,-0.198,0.4,0.8
"A_cliente.infraestructura",0.183,-0.197,0.3,0.3
"A_rubro.SERV. PROFESIONAL ",0.515,-0.06,2.8,0
"A_cliente.cultura_educacion",0.692,0.063,1.6,0
"A_rubro.OTROS",-0.479,0.115,4.3,0.3
"A_cliente.administracion",0.382,0.148,2.1,0.3
"A_cliente.salud_social",1.106,0.167,10.4,0.3
"A_directa.sin_directa",-0.017,0.249,0,1.3
"A_registro.reg16_18",-0.148,0.497,0.7,8.8
"A_personeria.SRL",-0.331,0.51,1.6,4
"A_cliente.ciencia_universidad",-0.082,0.562,0,1.5
"A_directa.mixto",-0.718,0.594,7.5,5.4
"A_escala.grande",0.779,0.605,11.9,7.6
"A_personeria.SA",0.105,0.947,0.2,15.6
"A_rubro.EQUIPOS",-0.086,1.252,0,6
