"variable","categoria","n","pct","pasivada"
"Legal form","OtraForma",956,9,"no"
"Legal form","PersFisica",4278,40.4,"no"
"Legal form","SA",2850,26.9,"no"
"Legal form","SRL",2496,23.6,"no"
"Modal sector","ALIMENTOS",635,6,"no"
"Modal sector","ALQUILER",907,8.6,"no"
"Modal sector","ELECTRICIDAD Y TEL",500,4.7,"yes"
"Modal sector","EQUIPOS",628,5.9,"no"
"Modal sector","LIBRERIA PAP. Y UT",328,3.1,"yes"
"Modal sector","MANT. REPARACION Y",2107,19.9,"no"
"Modal sector","OTROS",3264,30.9,"no"
"Modal sector","PROD. MEDICO/FARMA",370,3.5,"yes"
"Modal sector","SERV. PROFESIONAL ",1841,17.4,"no"
"Modal client type","administracion",2440,23.1,"no"
"Modal client type","ciencia_universidad",764,7.2,"no"
"Modal client type","cultura_educacion",588,5.6,"no"
"Modal client type","infraestructura",1296,12.2,"no"
"Modal client type","salud_social",1475,13.9,"no"
"Modal client type","seguridad_defensa",4017,38,"no"
"Scale of the exchange","chica",3407,32.2,"no"
"Scale of the exchange","grande",3407,32.2,"no"
"Scale of the exchange","media",3406,32.2,"no"
"Scale of the exchange","sin_ars",360,3.4,"yes"
"Procedure profile","mayoria_directa",4507,42.6,"no"
"Procedure profile","mixto",2505,23.7,"no"
"Procedure profile","sin_directa",3568,33.7,"no"
"Registration cohort","reg16_18",5858,55.4,"no"
"Registration cohort","reg19_21",2860,27,"no"
"Registration cohort","reg22plus",1862,17.6,"no"
