"jurisdiccion","n","pct","activa","dim1","vtest1","dim2","vtest2"
"CABA",179,39.2,TRUE,0.433,11.1,0.279,9.5
"La Pampa",2,0.4,FALSE,0.287,0.6,-0.465,-1.3
"San Luis",3,0.7,FALSE,0.072,0.2,-0.449,-1.5
"Río Negro",8,1.8,FALSE,0.029,0.1,-0.167,-0.9
"Santa Cruz",16,3.5,FALSE,0.027,0.2,-0.498,-4
"Jujuy",6,1.3,FALSE,-0.047,-0.2,-0.262,-1.3
"Tucumán",6,1.3,FALSE,-0.134,-0.5,-0.207,-1
"Catamarca",5,1.1,FALSE,-0.14,-0.5,-0.281,-1.3
"Chaco",10,2.2,FALSE,-0.146,-0.7,-0.372,-2.4
"La Rioja",4,0.9,FALSE,-0.173,-0.5,-0.308,-1.2
"Chubut",13,2.8,FALSE,-0.175,-1,-0.234,-1.7
"San Juan",7,1.5,FALSE,-0.183,-0.7,-0.279,-1.5
"Misiones",16,3.5,FALSE,-0.245,-1.5,-0.312,-2.5
"Tierra del Fuego",7,1.5,FALSE,-0.25,-1,-0.249,-1.3
"Córdoba",21,4.6,FALSE,-0.272,-1.9,-0.11,-1
"Formosa",9,2,FALSE,-0.312,-1.4,-0.27,-1.6
"Mendoza",11,2.4,FALSE,-0.327,-1.6,-0.072,-0.5
"Entre Ríos",9,2,FALSE,-0.328,-1.5,-0.222,-1.3
"Neuquén",11,2.4,FALSE,-0.329,-1.6,-0.044,-0.3
"Salta",13,2.8,FALSE,-0.34,-1.9,-0.179,-1.3
"Corrientes",11,2.4,FALSE,-0.342,-1.7,-0.388,-2.6
"sin_sede",1,0.2,FALSE,-0.373,-0.6,0.323,0.6
"Santa Fe",12,2.6,FALSE,-0.395,-2.1,-0.145,-1
"Santiago del Estero",4,0.9,FALSE,-0.413,-1.2,-0.09,-0.4
"Buenos Aires",73,16,TRUE,-0.442,-6.1,-0.016,-0.3
