estructura,entidad
Administración descentralizada,Agencia de Acceso a la Información Pública (AAIP)
Administración descentralizada,Agencia de Administración de Bienes del Estado (AABE)
Administración descentralizada,Ente Nacional de Comunicaciones (ENACOM)
Administración descentralizada,Instituto Nacional de Asociativismo y Economía Social (INAES)
Administración descentralizada,"Instituto Nacional de la Agricultura Familiar, Campesina e Indígena (INAFCEI)"
Administración descentralizada,Administración de Parques Nacionales
Administración descentralizada,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación"
Administración descentralizada,Comisión Nacional de Actividades Espaciales (CONAE)
Administración descentralizada,Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET)
Administración descentralizada,Biblioteca Nacional Dr. Mariano Moreno
Administración descentralizada,Fondo Nacional de las Artes (FNA)
Administración descentralizada,Instituto Nacional del Teatro (INT)
Administración descentralizada,Teatro Nacional Cervantes (TNC)
Administración descentralizada,Instituto de Ayuda Financiera para Pago de Retiros y Pensiones Militares (IAF)
Administración descentralizada,Instituto Geográfico Nacional (IGN)
Administración descentralizada,Servicio Meteorológico Nacional (SMN)
Administración descentralizada,Agencia de Recaudación y Control Aduanero (ARCA)
Administración descentralizada,Comisión Nacional de Energía Atómica (CNEA)
Administración descentralizada,Comisión Nacional de Valores (CNV)
Administración descentralizada,Ente Nacional Regulador de la Electricidad (ENRE)
Administración descentralizada,Ente Nacional Regulador del Gas (ENARGAS)
Administración descentralizada,Ente Nacional Regulador del Gas y de la Electricidad
Administración descentralizada,Instituto Nacional de Investigación y Desarrollo Pesquero (INIDEP)
Administración descentralizada,Instituto Nacional de la Propiedad Industrial (INPI)
Administración descentralizada,Instituto Nacional de Semillas (INASE)
Administración descentralizada,Instituto Nacional de Tecnología Agropecuaria (INTA)
Administración descentralizada,Instituto Nacional de Tecnología Industrial (INTI)
Administración descentralizada,Instituto Nacional de Vitivinicultura (INV)
Administración descentralizada,Servicio Geológico Minero Argentino (SEGEMAR)
Administración descentralizada,Servicio Nacional de Sanidad y Calidad Agroalimentaria (SENASA)
Administración descentralizada,Superintendencia de Seguros de la Nación (SSN)
Administración descentralizada,Tribunal Fiscal de la Nación (TFN)
Administración descentralizada,Unidad de Información Financiera (UIF)
Administración descentralizada,Comisión Nacional de Evaluación y Acreditación Universitaria (CONEAU)
Administración descentralizada,Fundación Miguel Lillo
Administración descentralizada,Centro Internacional para la Promoción de los DD. HH. (CIPDH)
Administración descentralizada,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo (INADI)"
Administración descentralizada,Instituto Nacional de Asuntos Indígenas (INAI)
Administración descentralizada,Dirección Nacional de Vialidad (DNV)
Administración descentralizada,Ente Nacional de Obras Hídricas de Saneamiento (ENOHSA)
Administración descentralizada,Instituto Nacional del Agua (INA)
Administración descentralizada,Organismo Regulador de Seguridad de Presas (ORSEP)
Administración descentralizada,Tribunal de Tasaciones de la Nación (TTN)
Administración descentralizada,Administración Nacional de Establecimientos de Salud (ANES)
Administración descentralizada,Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán” (ANLIS)
Administración descentralizada,"Administración Nacional de Medicamentos, Alimentos y Tecnología Médica (ANMAT)"
Administración descentralizada,Agencia Nacional de Laboratorios Públicos (ANLAP)
Administración descentralizada,Hospital Nacional y Comunidad Dr. Ramón Carrillo (Ex Colonia Nacional “Dr. Manuel A Montes de Oca”)
Administración descentralizada,"Hospital Nacional ""Baldomero Sommer"""
Administración descentralizada,Hospital Nacional “Prof. Alejandro A. Posadas”
Administración descentralizada,Hospital Nacional en Red Especializado en Salud Mental y Adicciones “Lic. Laura Bonaparte”
Administración descentralizada,Instituto Nacional Central Único Coordinador de Ablación e Implante (INCUCAI)
Administración descentralizada,Instituto Nacional de Rehabilitación Psicofísica del Sur “Dr. Juan Otimio Tesone” (INAREPS)
Administración descentralizada,Instituto Nacional del Cáncer (INC)
Administración descentralizada,Superintendencia de Servicios de Salud (SSS)
Administración descentralizada,"Caja de Retiros, Jubilaciones y Pensiones de la P.F.A. (CRJPPF)"
Administración descentralizada,Administración Nacional de la Seguridad Social (ANSES)
Administración descentralizada,Superintendencia de Riesgos del Trabajo (SRT)
Administración descentralizada,Administración Nacional de Aviación Civil (ANAC)
Administración descentralizada,Agencia Nacional de Seguridad Vial (ANSV)
Administración descentralizada,Comisión Nacional de Regulación del Transporte (CNRT)
Administración descentralizada,Junta de Seguridad en el Transporte (JST)
Administración descentralizada,Organismo Regulador del Sistema Nacional de Aeropuertos (ORSNA)
Administración descentralizada,Dirección Nacional de Migraciones (DNM)
Administración descentralizada,Registro Nacional de las Personas (RENAPER)
Administración descentralizada,Agencia Nacional de Discapacidad (ANDIS)
Administración descentralizada,Autoridad Regulatoria Nuclear (ARN)
Administración descentralizada,Sindicatura General de la Nación (SIGEN)
Administración descentralizada,Banco Nacional de Datos Genéticos (BNDG)
Administración desconcentrada,Instituto Nacional de Juventudes (INJUVE)
Administración desconcentrada,Estado Mayor Conjunto de las Fuerzas Armadas
Administración desconcentrada,Estado Mayor General de la Armada Argentina
Administración desconcentrada,Estado Mayor General de la Fuerza Aérea
Administración desconcentrada,Estado Mayor General del Ejército Argentino
