estructura,entidad,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00
Administración descentralizada,Agencia de Acceso a la Información Pública (AAIP),62,62,63,65,67,67,67,69,74,79,79,81,84,88,85,85,84,91,92,89,85,85,83,80,76,74,72,73,71,70,68,68,68,63,63,63,62,63,63,63,62,62,62,62,61,61,59,59,60
Administración descentralizada,Agencia de Administración de Bienes del Estado (AABE),507,496,481,478,481,478,468,471,472,483,464,475,476,476,471,469,462,438,424,424,419,394,392,390,384,380,381,381,381,389,393,404,413,406,404,403,400,398,396,394,390,390,383,373,365,362,363,358,359
Administración descentralizada,Ente Nacional de Comunicaciones (ENACOM),2078,2077,2079,2074,2073,2066,2060,2063,2062,2059,2059,2055,2056,2057,2057,2055,2048,1970,1935,1928,1897,1567,1524,1484,1445,1427,1416,1404,1381,1349,1329,1306,1294,1284,1270,1258,1246,1238,1230,1220,1214,1213,1200,1191,1175,1167,1170,1176,1173
Administración descentralizada,Instituto Nacional de Asociativismo y Economía Social (INAES),744,755,756,756,753,752,741,746,749,750,752,755,756,754,753,751,749,739,618,574,566,528,529,530,515,512,507,503,501,498,491,489,467,449,441,438,436,430,428,423,417,415,411,409,411,408,407,405,400
Administración descentralizada,"Instituto Nacional de la Agricultura Familiar, Campesina e Indígena (INAFCEI)",///,///,///,///,///,///,1054,1055,1050,1044,1044,1042,1036,1040,1039,1040,1048,1028,1028,1028,1028,1028,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
Administración descentralizada,Administración de Parques Nacionales,2134,2144,2144,2148,2139,2151,2160,2191,2217,2242,2266,2277,2288,2295,2293,2287,2290,2335,2232,2226,2229,2166,2154,2152,2090,2085,2085,2071,2060,2079,2088,2107,2093,2079,2060,2045,2042,2018,2021,2014,2043,2013,2008,2020,2003,1985,1982,1979,1973
Administración descentralizada,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación",262,263,260,257,259,259,255,260,264,263,262,260,262,263,263,264,263,259,227,221,211,175,174,176,174,176,176,170,172,173,171,166,163,165,165,162,154,155,153,150,148,152,151,149,146,146,148,147,151
Administración descentralizada,Comisión Nacional de Actividades Espaciales (CONAE),294,295,305,308,309,309,308,304,294,291,288,288,288,292,295,297,296,296,294,292,279,279,278,275,274,273,273,273,273,272,270,270,269,268,268,263,260,259,256,255,253,255,254,253,252,253,253,252,247
Administración descentralizada,Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET),28177,27970,27986,27902,27867,27792,27522,27501,27495,28264,28327,28359,28130,27961,27935,27793,27766,27760,27509,27479,27376,26926,26755,26633,26421,26682,26705,26629,26629,26446,26344,26293,26247,26809,26781,26675,26571,26050,25848,25802,25686,25672,25499,25470,25395,25813,25805,25709,25645
Administración descentralizada,Biblioteca Nacional Dr. Mariano Moreno,899,909,914,916,914,914,911,912,918,916,915,912,910,918,918,913,915,914,897,896,895,776,775,775,776,776,777,778,778,777,770,767,762,756,754,750,745,744,741,744,744,743,733,729,724,718,754,744,733
