saf_id,organismo,anio_fundacion
101,Fundación Miguel Lillo,1931
103,Consejo Nacional de Investigaciones Científicas y Técnicas,1958
105,Comisión Nacional de Energía Atómica,1950
106,Comisión Nacional de Actividades Espaciales,1991
107,Administración de Parques Nacionales,1934
108,Instituto Nacional del Agua,1973
109,Sindicatura General de la Nación,1992
112,Autoridad Regulatoria Nuclear,1997
113,Teatro Nacional Cervantes,1921
114,Instituto Nacional de Asociativismo y Economía Social,1996
116,Biblioteca Nacional,1810
117,Instituto Nacional del Teatro,1997
118,Instituto Nacional de Asuntos Indígenas,1985
120,Agencia de Deportes Nacional,2001
121,Banco Nacional de Datos Genéticos,1987
173,AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN,1996
200,Registro Nacional de las Personas,1946
201,Dirección Nacional de Migraciones,1949
202,Instituto Nacional contra la Discriminación; Xenofobia y el Racismo,1995
203,Agencia Nacional de Seguridad Vial,2008
205,Agencia de Administración de Bienes del Estado,2012
206,Centro Internacional para la Promoción de los Derechos Humanos,2007
207,Ente Nacional de Comunicaciones,2015
208,Agencia Nacional de Materiales Controlados,1996
209,Agencia de Acceso a la Información Pública,2016
250,Caja de Retiros Jubilaciones y Pensiones de la Policía Federal,1946
301,Secretaria General de la Presidencia de la Nación,1854
303,Secretaría de Políticas Integrales Sobre Drogas de la Nación Argentina  (SEDRONAR),1989
305,Jefatura de Gabinete de Ministros,1994
307,Ministerio de Relaciones Exteriores y Culto,1853
310,Ministerio de Salud,1949
311,Desarrollo Humano y Economía Solidaria,2019
317,Ministerio de Ambiente y Desarrollo Sostenible,2015
321,Instituto Nacional de Estadísticas y Censos,1968
322,Ministerio de Turismo,2001
323,Comision Nacional de Comercio Exterior,1994
325,Ministerio del Interior,1853
326,Super Intendencia de la Administracion de la Policia Federal,1943
327,Ministerio de Transporte,2012
328,Secretaría de Energía,1946
330,Ministerio de Educación,1854
331,Servicio Penitenciario Federal,1872
332,Ministerio de Justicia y Derechos Humanos,1949
336,SECRETARÍA DE INNOVACIÓN; CIENCIA Y TECNOLOGÍA,2019
337,Secretaría de Cultura,1973
338,Secretaria Legal y Técnica,1853
341,Secretaría Nacional de Niñez; Adolescencia y Familia,2001
343,Ministerio de Seguridad,2010
345,Consejo Nacional de Coordinación de Politicas Sociales,2002
347,Secretaría de Gobierno del Sistema Federal de Medios y Contenidos Públicos,2018
349,Procuración del Tesoro de la Nación,1863
350,Ministerio de Trabajo; Empleo y Seguridad Social,1949
357,Ministerio de Economía,1854
362,Ministerio de Desarrollo Productivo,2019
363,Ministerio de Agricultura; Ganadería y Pesca,2019
364,Ministerio de Obras Públicas,1854
365,Ministerio de Desarrollo Territorial y Hábitat,2019
366,Ministerio de Modernización,2015
368,SECRETARÍA DE COMUNICACIÓN Y MEDIOS DE LA PRESIDENCIA DE LA NACIÓN,1958
370,Ministerio de Defensa,1853
371,Estado Mayor Conjunto (EMCO),1948
372,Instituto de Investigaciones Científicas y Técnicas para la Defensa,1954
374,Estado Mayor General del Ejercito,1853
375,Gendarmeria Nacional,1938
376,Subsecreataría de Planeamiento Operativo y Servicio Logístico de la Defensa,2006
377,INFRAESTRUCTURA ECONOMICA Y SOCIAL,1976
379,Estado Mayor General de la Armada,1810
380,Prefectura Naval Argentina,1810
381,Estado Mayor General de La Fuerza Aérea,1945
382,Policia de Seguridad Aeroportuaria,2005
386,Ministerio de las Mujeres; Géneros y Diversidad,2019
388,MINSTERIO DE CAPITAL HUMANO,2023
389,Ministerio de Desregulación y Transformación del Estado,2023
403,Superintendencia de Bienestar de la Policia Federal Argentina,1973
450,Instituto Geográfico Nacional,1879
451,Dirección General de Fabricaciones Militares,1941
452,Servicio Metereológico Nacional,1872
470,Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares,1946
556,Autoridad de Cuenca Matanza Riachuelo,2006
602,Comisión Nacional de Valores,1968
603,Superintendencia de Seguros de la Nación,1937
604,Dirección Nacional de Vialidad,1932
607,Instituto Nacional de Investigación y Desarrollo Pesquero,1977
608,Instituto Nacional de Tecnología Industrial,1957
609,Instituto Nacional de Vitivinicultura,1959
612,Tribunal de Tasaciones de la Nación,1941
613,Ente Nacional de Obras Hídricas de Saneamiento,1991
614,Instituto Nacional de Semillas,1973
620,Tribunal Fiscal de la Nación,1944
622,Instituto Nacional de la Propiedad Industrial,1992
623,Servicio Nacional de Sanidad y Calidad Agroalimentaria,1996
624,Servicio Geológico Minero Argentino,1996
651,Ente Nacional Regulador del Gas,1992
652,Ente Nacional Regulador de la Electricidad,1992
656,Organismo Regulador de Seguridad de Presas,1995
661,Comisión Nacional de Regulación de Transporte,1996
664,Organismo Regulador del Sistema Nacional de Aeropuertos,1997
669,Administración Nacional de Aviación Civil,2007
670,Unidad de Información Financiera,2000
671,JUNTA DE SEGURIDAD EN EL TRANSPORTE,2017
673,AGENCIA NACIONAL DE PUERTOS Y NAVEGACIÓN,2019
716,BICE Fideicomisos S.A,2017
801,Instituto Nacional de Cine y Artes Audiovisuales - INCAA,1957
802,Fondo Nacional de las Artes,1958
804,Comisión Nacional de Evaluación y Acreditación Universitaria,1995
850,Administración Nacional de la Seguridad Social,1992
852,Superintendencia de Riesgos de Trabajo,1995
902,Hospital Nacional en Red Especializado en Salud Mental y Adicciones Licenciada Laura Bonaparte,2011
903,Hospital Nacional Dr Baldomero Sommer,1963
904,Administración Nacional de Medicamentos; Alimentos y Tecnología Médica - ANMAT,1992
905,Instituto Nacional Central Único Coordinador de Ablación e Implante,1977
906,Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán,1894
908,Hospital Nacional Dr. Alejandro Posadas,1957
909,Colonia Nacional Dr. Manuel Montes de Oca,1908
910,Instituto Nacional de Rehabilitación Psicofísica del Sur DR. Juan otimio Tessone,1959
911,Instituto Nacional de Servicios Sociales para Jubilados y Pensionados - INSSJP,1971
914,Superintendecia de Servicios de Salud,1996
915,Instituto Nacional del Cáncer,2010
916,Agencia Nacional de Laboratorios Públicos,2015
917,Agencia Nacional de Discapacidad,2017
918,Instituto Nacional de las Mujeres,1992
9196,Dirección de Obra Social del Servicio Penitenciario Federal,1971
