organismo,saf_id,credito_presupuestado,credito_vigente,credito_devengado,servicio_desc
101 - Fundación Miguel Lillo,101,2828.044712,6804.703921,6734.17217642,Fundación Miguel Lillo
103 - Consejo Nacional de Investigaciones Científicas y Técnicas,103,199560.966647,507413.443501,504175.67317615997,Consejo Nacional de Investigaciones Científicas y Técnicas
105 - Comisión Nacional de Energía Atómica,105,90490.344035,206735.123078,194902.65276546,Comisión Nacional de Energía Atómica
106 - Comisión Nacional de Actividades Espaciales,106,19600.047784,66402.817327,51211.7328962,Comisión Nacional de Actividades Espaciales
107 - Administración de Parques Nacionales,107,33199.958968,73596.265501,65932.44149142,Administración de Parques Nacionales
108 - Instituto Nacional del Agua,108,3031.507641,7314.532954,6859.218474140001,Instituto Nacional del Agua
109 - Sindicatura General de la Nación,109,7194.460006,18837.460006,17775.562196180003,Sindicatura General de la Nación
112 - Autoridad Regulatoria Nuclear,112,6247.954762,15301.712592,13149.59538632,Autoridad Regulatoria Nuclear
113 - Teatro Nacional Cervantes,113,3310.82036,8940.294857,8594.39106381,Teatro Nacional Cervantes
114 - Instituto Nacional de Asociativismo y Economía Social,114,14371.661215,19632.372112,16761.07521461,Instituto Nacional de Asociativismo y Economía Social
116 - Biblioteca Nacional,116,12841.625466,25912.987032,23245.41994724,Biblioteca Nacional 'Doctor Mariano Moreno'
117 - Instituto Nacional del Teatro,117,3104.714299,6425.748555,6200.52164163,Instituto Nacional del Teatro
118 - Instituto Nacional de Asuntos Indígenas,118,2357.352003,4885.05369,4579.4511313699995,Instituto Nacional de Asuntos Indígenas
120 - Agencia de Deportes Nacional,120,,,,
121 - Banco Nacional de Datos Genéticos,121,1090.683059,2172.901927,2125.72935,Banco Nacional de Datos Genéticos (BNDG)
173 - AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN,173,25143.370569,27829.408366,23519.073544259998,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación"
200 - Registro Nacional de las Personas,200,47591.817191,147601.445894,136811.09131817,Registro Nacional de las Personas (RENAPER)
201 - Dirección Nacional de Migraciones,201,42726.414394,108315.500672,104709.99532768,Dirección Nacional de Migraciones
202 - Instituto Nacional contra la Discriminación; Xenofobia y el Racismo,202,2354.812228,2452.032187,2240.62455046,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo"
202 - Instituto Nacional contra la Discriminación; la Xenofobia y el Racismo,202,2354.812228,2452.032187,2240.62455046,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo"
203 - Agencia Nacional de Seguridad Vial,203,8016.012837,16261.852822,15115.0133432,Agencia Nacional de Seguridad Vial
205 - Agencia de Administración de Bienes del Estado,205,5392.413291,11141.499786,9611.59560434,Agencia de Administración de Bienes del Estado
206 - Centro Internacional para la Promoción de los Derechos Humanos,206,853.629587,1147.52018,669.05108376,Centro Internacional para la Promoción de los Derechos Humanos
207 - Ente Nacional de Comunicaciones,207,22792.565599999998,64066.806412,55262.93691415,Ente Nacional de Comunicaciones
208 - Agencia Nacional de Materiales Controlados,208,1278.060017,3046.013397,2521.99307379,Agencia Nacional de Materiales Controlados
209 - Agencia de Acceso a la Información Pública,209,989.69287,2336.5459579999997,2120.5591798,Agencia de Acceso a la Información Pública
250 - Caja de Retiros Jubilaciones y Pensiones de la Policía Federal,250,780825.921078,2012158.3877,1950753.39605456,"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal Argentina"
301 - Secretaria General de la Presidencia de la Nación,301,21059.482123,72591.66972,58947.72103046,Secretaría General de la Presidencia de la Nación
303 - Secretaría de Políticas Integrales Sobre Drogas de la Nación Argentina  (SEDRONAR),303,19612.981394,41782.325653,40665.69000692,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina (SEDRONAR)
303 - Secretaría de Políticas Integrales sobre Drogas,303,19612.981394,41782.325653,40665.69000692,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina (SEDRONAR)
305 - Jefatura de Gabinete de Ministros,305,48449.815675,83711.570952,72078.57552784,Jefatura de Gabinete de Ministros
307 - Ministerio de Relaciones Exteriores y Culto,307,188314.79902,520717.84038999997,500624.59669354,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto"
307 - Ministerio de Relaciones Exteriores; Comercio Internacional y Culto,307,188314.79902,520717.84038999997,500624.59669354,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto"
310 - Ministerio de Salud,310,442807.18802,1150761.807123,1077867.59381561,Ministerio de Salud
310 - Secretaría de Gobierno de Salud,310,442807.18802,1150761.807123,1077867.59381561,Ministerio de Salud
311 - Desarrollo Humano y Economía Solidaria,311,2117666.320981,2774057.454985,2667498.84851421,"Secretaría Nacional de Niñez, Adolescencia y Familia"
311 - Ministerio de Desarrollo Social,311,2117666.320981,2774057.454985,2667498.84851421,"Secretaría Nacional de Niñez, Adolescencia y Familia"
311 - Ministerio de Salud y Desarrollo Social,311,2117666.320981,2774057.454985,2667498.84851421,"Secretaría Nacional de Niñez, Adolescencia y Familia"
317 - Ministerio de Ambiente y Desarrollo Sostenible,317,50574.036621,83848.575195,31842.89438064,Ambiente
317 - Ministerio de Ambiente y Desarrollo Sustentable,317,50574.036621,83848.575195,31842.89438064,Ambiente
317 - Secretaría de Gobierno de Ambiente y Desarrollo Sustentable,317,50574.036621,83848.575195,31842.89438064,Ambiente
321 - Instituto Nacional de Estadísticas y Censos,321,15624.389657,33819.541049,32574.53216867,Instituto Nacional de Estadística y Censos (INDEC)
322 - Ministerio de Turismo,322,73159.166253,67542.356322,41461.66630371,Turismo y Deportes
322 - Ministerio de Turismo y Deportes,322,73159.166253,67542.356322,41461.66630371,Turismo y Deportes
322 - Secretaría de Gobierno de Turismo,322,73159.166253,67542.356322,41461.66630371,Turismo y Deportes
323 - Comision Nacional de Comercio Exterior,323,510.456122,1013.678598,929.17826768,Comisión Nacional de Comercio Exterior (CNCE)
325 - Ministerio del Interior,325,249040.708559,377622.128799,101539.47695595,Vicejefatura de Gabinete del Interior
325 - Ministerio del Interior; Obras Públicas y Vivienda,325,249040.708559,377622.128799,101539.47695595,Vicejefatura de Gabinete del Interior
326 - Super Intendencia de la Administracion de la Policia Federal,326,295213.534665,692961.218604,685505.69204231,Policía Federal Argentina (PFA)
327 - Ministerio de Transporte,327,596743.594701,515835.08186599996,509921.80093129,Secretaría de Transporte
328 - Secretaría de Energía,328,2244751.55071,4847026.092198,4640740.08880379,Secretaría de Energía
328 - Secretaría de Gobierno de Energía,328,2244751.55071,4847026.092198,4640740.08880379,Secretaría de Energía
330 - Ministerio de Educación,330,2477153.331851,4599183.588027,4331307.59599919,Secretaría de Educación
330 - Ministerio de Educación; Cultura; Ciencia y Tecnología,330,2477153.331851,4599183.588027,4331307.59599919,Secretaría de Educación
330 - SECRETARIA DE EDUCACIÓN – MINISTERIO DE CAPITAL HUMANO,330,2477153.331851,4599183.588027,4331307.59599919,Secretaría de Educación
331 - Servicio Penitenciario Federal,331,125229.682424,329776.604594,326298.82680956,Servicio Penitenciario Federal
332 - Ministerio de Justicia y Derechos Humanos,332,20762.367937,122092.115364,52677.71485859,Ministerio de Justicia
336 - SECRETARÍA DE INNOVACIÓN; CIENCIA Y TECNOLOGÍA,336,79431.100246,104688.73051200001,41774.97240924,"Secretaría de Innovación, Ciencia y Tecnología"
336 - Secretaría de Gobierno de Ciencia; Tecnología e Innovación Productiva,336,79431.100246,104688.73051200001,41774.97240924,"Secretaría de Innovación, Ciencia y Tecnología"
337 - Secretaría de Cultura,337,,,,
337 - Secretaría de Gobierno de Cultura,337,,,,
338 - Secretaria Legal y Técnica,338,4492.497069,9941.497069,9648.44449829,Secretaría Legal y Técnica
341 - Secretaría Nacional de Niñez; Adolescencia y Familia,341,36797.364075,62084.641388,51027.39109707,Políticas Familiares
343 - Ministerio de Seguridad,343,78567.436627,182160.973048,167552.37706072,Ministerio de Seguridad
345 - Consejo Nacional de Coordinación de Politicas Sociales,345,2746.441219,4956.82072,4816.33264165,Consejo Nacional de Coordinación de Políticas Sociales
347 - Secretaría de Gobierno del Sistema Federal de Medios y Contenidos Públicos,347,,,,
347 - Secretaría de Medios y Comunicación Pública,347,,,,
349 - Procuración del Tesoro de la Nación,349,2000.316826,5052.526951,4764.6517212,Procuración del Tesoro de la Nación
350 - Ministerio de Trabajo; Empleo y Seguridad Social,350,119738.306887,853011.232337,821133.65185501,"Secretaría  de Trabajo, Empleo y Seguridad Social"
350 - Secretaría de Gobierno de Trabajo y Empleo,350,119738.306887,853011.232337,821133.65185501,"Secretaría  de Trabajo, Empleo y Seguridad Social"
357 - Ministerio de Economía,357,56711.277736000004,153839.069819,119709.56323799,Ministerio de Economía
357- Ministerio de Hacienda,357,56711.277736000004,153839.069819,119709.56323799,Ministerio de Economía
362 - Ministerio de Desarrollo Productivo,362,225995.396715,380131.861438,115595.43375235,Secretaría de Industria y Desarrollo Productivo
362 - Ministerio de Producción,362,225995.396715,380131.861438,115595.43375235,Secretaría de Industria y Desarrollo Productivo
362 - Ministerio de Producción y Trabajo,362,225995.396715,380131.861438,115595.43375235,Secretaría de Industria y Desarrollo Productivo
363 - Ministerio de Agricultura; Ganadería y Pesca,363,113222.978827,8144.85241,8144.84262028,"Secretaría de Agricultura, Ganadería y Pesca"
363 - Secretaría de Gobierno de Agroindustria,363,113222.978827,8144.85241,8144.84262028,"Secretaría de Agricultura, Ganadería y Pesca"
364-Ministerio de Obras Públicas,364,409960.669569,287131.965922,63125.96999613,Secretaría de Obras Públicas
365-Ministerio de Desarrollo Territorial y Hábitat,365,427034.297136,430490.656473,180661.1023007,"Secretaría de Desarrollo Territorial, Hábitat y Vivienda"
366 - Ministerio de Modernización,366,,,,
366 - Secretaría de Gobierno de Modernización,366,,,,
366 - Secretaría de Innovación Pública,366,,,,
368 - SECRETARÍA DE COMUNICACIÓN Y MEDIOS DE LA PRESIDENCIA DE LA NACIÓN,368,50562.403709000006,2166.964004,2124.94007049,Secretaría de Comunicación y Medios
370 - Ministerio de Defensa,370,27804.323165,38639.085711,35631.90260882,Ministerio de Defensa (Gastos Propios)
371 - Estado Mayor Conjunto (EMCO),371,12894.757956,46000.987966,45861.35987617,Estado Mayor Conjunto de las Fuerzas Armadas (EMCO)
372 - Instituto de Investigaciones Científicas y Técnicas para la Defensa,372,3984.66232,10405.17545,10035.9450044,Instituto de Investigaciones Científicas y Técnicas para la Defensa (CITEDEF)
374 - Estado Mayor General del Ejercito,374,445070.148802,1241855.608432,1224311.79463983,Estado Mayor General del Ejército Argentino (EMGE)
375 - Gendarmeria Nacional,375,421655.948859,979169.374397,964139.3923834,Gendarmería Nacional Argentina (GNA)
376 - Subsecreataría de Planeamiento Operativo y Servicio Logístico de la Defensa,376,2671.5817050000005,8236.724315,8229.64771933,Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa
