ejercicio_presupuestario,servicio_id,servicio_desc,ultima_actualizacion_fecha
2024,1,Auditoría General de la Nación,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,101,Fundación Miguel Lillo,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,103,Consejo Nacional de Investigaciones Científicas y Técnicas,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,105,Comisión Nacional de Energía Atómica,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,106,Comisión Nacional de Actividades Espaciales,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,107,Administración de Parques Nacionales,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,108,Instituto Nacional del Agua,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,109,Sindicatura General de la Nación,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,112,Autoridad Regulatoria Nuclear,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,113,Teatro Nacional Cervantes,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,114,Instituto Nacional de Asociativismo y Economía Social,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,116,Biblioteca Nacional 'Doctor Mariano Moreno',Última actualización del ejercicio 2024: 01 Julio 2025.
2024,117,Instituto Nacional del Teatro,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,118,Instituto Nacional de Asuntos Indígenas,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,119,Instituto Nacional de Promoción Turística,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,121,Banco Nacional de Datos Genéticos (BNDG),Última actualización del ejercicio 2024: 01 Julio 2025.
2024,173,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación",Última actualización del ejercicio 2024: 01 Julio 2025.
2024,200,Registro Nacional de las Personas (RENAPER),Última actualización del ejercicio 2024: 01 Julio 2025.
2024,201,Dirección Nacional de Migraciones,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,202,"Instituto Nacional contra la Discriminación, la Xenofobia y el Racismo",Última actualización del ejercicio 2024: 01 Julio 2025.
2024,203,Agencia Nacional de Seguridad Vial,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,205,Agencia de Administración de Bienes del Estado,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,206,Centro Internacional para la Promoción de los Derechos Humanos,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,207,Ente Nacional de Comunicaciones,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,208,Agencia Nacional de Materiales Controlados,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,209,Agencia de Acceso a la Información Pública,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,250,"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal Argentina",Última actualización del ejercicio 2024: 01 Julio 2025.
2024,301,Secretaría General de la Presidencia de la Nación,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,302,Secretaría de Inteligencia de Estado,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,303,Secretaría de Políticas Integrales sobre Drogas de la Nación Argentina (SEDRONAR),Última actualización del ejercicio 2024: 01 Julio 2025.
2024,305,Jefatura de Gabinete de Ministros,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,307,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Última actualización del ejercicio 2024: 01 Julio 2025.
2024,310,Ministerio de Salud,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,311,"Secretaría Nacional de Niñez, Adolescencia y Familia",Última actualización del ejercicio 2024: 01 Julio 2025.
2024,312,Honorable Senado de la Nación Argentina,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,313,Honorable Cámara de Diputados de la Nación Argentina,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,314,Biblioteca del Congreso de la Nación,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,315,Imprenta del Congreso de la Nación,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,316,Dirección de Ayuda Social para el Personal del Congreso de la Nación (DAS),Última actualización del ejercicio 2024: 01 Julio 2025.
2024,317,Ambiente,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,319,Defensoría del Pueblo de la Nación,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,320,Consejo de la Magistratura,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,321,Instituto Nacional de Estadística y Censos (INDEC),Última actualización del ejercicio 2024: 01 Julio 2025.
2024,322,Turismo y Deportes,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,323,Comisión Nacional de Comercio Exterior (CNCE),Última actualización del ejercicio 2024: 01 Julio 2025.
2024,325,Vicejefatura de Gabinete del Interior,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,326,Policía Federal Argentina (PFA),Última actualización del ejercicio 2024: 01 Julio 2025.
2024,327,Secretaría de Transporte,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,328,Secretaría de Energía,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,330,Secretaría de Educación,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,331,Servicio Penitenciario Federal,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,332,Ministerio de Justicia,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,334,Ente de Cooperación Técnica y Financiera del Servicio Penitenciario Federal,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,335,Corte Suprema de Justicia de la Nación,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,336,"Secretaría de Innovación, Ciencia y Tecnología",Última actualización del ejercicio 2024: 01 Julio 2025.
2024,337,Ministerio de Cultura,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,338,Secretaría Legal y Técnica,Última actualización del ejercicio 2024: 01 Julio 2025.
2024,340,Procuración Penitenciaria de la Nación,Última actualización del ejercicio 2024: 01 Julio 2025.
