uoc,saf,tipo_organismo,n_adj,localidad,provincia,lat,lon,confianza,fuente,verificado
68/00 - Departamento de Administracion de Bienes - ANLIS,906 - Administración Nacional de Laboratorios e Institutos de Salud “Dr. Carlos Malbrán,salud_social,4195,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/77 - Departamento Contaduría y Finanzas (EMGE),374 - Estado Mayor General del Ejercito,seguridad_defensa,3362,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/13 - Dirección de Remonta y Veterinaria,374 - Estado Mayor General del Ejercito,seguridad_defensa,2287,CABA,CABA,-34.6075,-58.4371,alta,manual,1
97/000 - Hospital Nacional Dr Baldomero Sommer,903 - Hospital Nacional Dr Baldomero Sommer,salud_social,2052,General Rodríguez,Buenos Aires,-34.6082064832342,-58.9510798915332,alta,deepseek+georef,1
84/26 - Hospital Militar Central 601,374 - Estado Mayor General del Ejercito,seguridad_defensa,2004,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
47 - Dpto. de Compras y Servicios- INIDEP,607 - Instituto Nacional de Investigación y Desarrollo Pesquero,ciencia_universidad,1944,Mar del Plata,Buenos Aires,-38.0064494189987,-57.5438377776641,alta,deepseek+georef,1
14/3 - Centro Atómico Bariloche - CNEA,105 - Comisión Nacional de Energía Atómica,ciencia_universidad,1881,San Carlos de Bariloche,Río Negro,-41.1358081611304,-71.3043392567773,alta,deepseek+georef,1
96 - Dirección General de Administración,908 - Hospital Nacional Profesor Alejandro Posadas,salud_social,1878,El Palomar,Buenos Aires,-34.6108556165017,-58.5956810077115,alta,deepseek+georef,1
487 - División Compras y Suministros - Superintendencia de Bienestar de la Policia Federal Argentina,403 - Superintendencia de Bienestar de la Policia Federal Argentina,seguridad_defensa,1758,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/15 JEFATURA DE OBTENCION DE LA ARMADA,379 - Estado Mayor General de la Armada,seguridad_defensa,1643,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/129 - Dirección de Arsenales,374 - Estado Mayor General del Ejercito,seguridad_defensa,1596,Boulogne Sur Mer,Buenos Aires,-34.5094800482416,-58.5669108609788,alta,deepseek+georef,1
84/17 - Comando Brigada de Montaña V,374 - Estado Mayor General del Ejercito,seguridad_defensa,1473,Salta,Salta,-24.7831983811283,-65.4102509654276,alta,deepseek+georef,1
40/014 - UOC DPTO CDR,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,1471,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
52 - Coordinación de Compras y Contrataciones - SENASA,623 - Servicio Nacional de Sanidad y Calidad Agroalimentaria,administracion,1372,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
340/001 - Dirección General de Administración - SSSLD,376 - Subsecretaría de Planeamiento Operativo y Servicio Logístico de la Defensa,seguridad_defensa,1361,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
66/00 - Dirección de Compras; Suministros; Logística y Arquitectura - ANMAT,904 - Administración Nacional de Medicamentos; Alimentos y Tecnología Médica - ANMAT,salud_social,1358,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
83/000 - Dirección General de Administración Financiera - MC,337 - Secretaría de Cultura,cultura_educacion,1338,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
14 - Compras y Contrataciones - CNEA,105 - Comisión Nacional de Energía Atómica,ciencia_universidad,1323,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
14/2 - Centro Atómico Ezeiza - CNEA,105 - Comisión Nacional de Energía Atómica,ciencia_universidad,1301,Ezeiza,Buenos Aires,-34.8543939582115,-58.524757807358,alta,denominacion,1
40/039 - UOC DPTO CDR,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,1256,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
Departamento Contrataciones Córdoba - UOC 40/47,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,1194,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,denominacion,1
84/134 - Comando de Adiestramiento y Alistamiento,374 - Estado Mayor General del Ejercito,seguridad_defensa,1186,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,alta,deepseek+georef,1
84/07 - Dirección de Aviación de Ejercito - Ejercito Argentino,374 - Estado Mayor General del Ejercito,seguridad_defensa,1169,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,alta,deepseek+georef,1
84/24 - Colegio Militar de la Nación - Compras y Contrataciones,374 - Estado Mayor General del Ejercito,seguridad_defensa,1163,El Palomar,Buenos Aires,-34.6108556165017,-58.5956810077115,alta,deepseek+georef,1
38/6 - INTENDENCIA NAVAL USHUAIA,379 - Estado Mayor General de la Armada,seguridad_defensa,1162,Ushuaia,Tierra del Fuego,-54.8074039816905,-68.3037571781958,alta,denominacion,1
38/01 - ARSENAL NAVAL PUERTO BELGRANO,379 - Estado Mayor General de la Armada,seguridad_defensa,1142,Punta Alta,Buenos Aires,-38.8781733532983,-62.0794804613607,alta,deepseek+georef,1
72/00 - Dirección Administrativa Financiera- EMCFFAA- Dpto de contrataciones,371 - Estado Mayor Conjunto (EMCO),seguridad_defensa,1121,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/89 - Dirección General de Educación,374 - Estado Mayor General del Ejercito,seguridad_defensa,1102,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
63/000 - Dirección de Contrataciones - ANSES II,850 - Administración Nacional de la Seguridad Social,salud_social,1061,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/27 - Agrupación Servicios de Cuartel,379 - Estado Mayor General de la Armada,seguridad_defensa,1039,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
84/140 - Comando de Brigada de Monte III,374 - Estado Mayor General del Ejercito,seguridad_defensa,1034,Resistencia,Chaco,-27.4510757112285,-58.9864835287395,alta,deepseek+georef,1
38/12 - Comando de la Flota de Mar,379 - Estado Mayor General de la Armada,seguridad_defensa,1034,Punta Alta,Buenos Aires,-38.8781733532983,-62.0794804613607,alta,deepseek+georef,1
HOSPITAL NACIONAL Y COMUNIDAD DR. RAMON CARRILLO,909 - Colonia Nacional Dr. Manuel Montes de Oca,salud_social,1006,Torres,Buenos Aires,-34.4309916604575,-59.1278642374609,alta,manual,1
14/1 - Centro Atómico Constituyentes - CNEA,105 - Comisión Nacional de Energía Atómica,ciencia_universidad,999,Villa Maipú,Buenos Aires,-34.568894989108,-58.5244410540779,alta,deepseek+georef,1
84/03 - Comando de la 1ra División de Ejército,374 - Estado Mayor General del Ejercito,seguridad_defensa,981,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
84/16 - Comando Brigada Blindada II,374 - Estado Mayor General del Ejercito,seguridad_defensa,978,Paraná,Entre Ríos,-31.7401601621031,-60.5274260494443,alta,manual,1
84/06 - Dirección General de Salud,374 - Estado Mayor General del Ejercito,seguridad_defensa,969,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
79/000 - Dirección General Técnico - Administrativa - JGM,305 - Jefatura de Gabinete de Ministros,administracion,963,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/23 - Escuela de Suboficiales del Ejercito Sargento Cabral - Estado Mayor General del Ejercito,374 - Estado Mayor General del Ejercito,seguridad_defensa,960,Campo de Mayo,Buenos Aires,-34.5550627752485,-58.6522136037965,alta,deepseek+georef,1
80/000 - Dirección General de Administración - MS,310 - Ministerio de Salud,salud_social,955,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
46/04 - 4° Mendoza - DNV,604 - Dirección Nacional de Vialidad,infraestructura,924,Mendoza,Mendoza,-32.8897325533642,-68.8444442314254,alta,denominacion,1
84/15 - Comando de Brigada Blindada I,374 - Estado Mayor General del Ejercito,seguridad_defensa,920,Tandil,Buenos Aires,-37.3286954825526,-59.1368975569569,alta,deepseek+georef,1
23/000 - Dirección General de Administración - SG,301 - Secretaria General de la Presidencia de la Nación,administracion,919,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
73 - Direccion General de  Administración - CNRT,661 - Comisión Nacional de Regulación de Transporte,administracion,918,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/22 - Comando de Brigada de Monte XII,374 - Estado Mayor General del Ejercito,seguridad_defensa,911,Posadas,Misiones,-27.3664259799962,-55.8939802751923,alta,deepseek+georef,1
33/000 - Dirección General de Administración - MT,350 - Ministerio de Trabajo; Empleo y Seguridad Social,salud_social,911,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/39 - Comando Brigada Paracaidista IV,374 - Estado Mayor General del Ejercito,seguridad_defensa,900,Córdoba,Córdoba,-31.4150461523809,-64.1791140755104,alta,deepseek+georef,1
38/2 - UOC Base Naval Puerto Belgrano - EMGA,379 - Estado Mayor General de la Armada,seguridad_defensa,899,Punta Alta,Buenos Aires,-38.8781733532983,-62.0794804613607,alta,deepseek+georef,1
38/33 - Unidad Operativa de Contrataciones - Base Naval Mar del Plata,379 - Estado Mayor General de la Armada,seguridad_defensa,898,Mar del Plata,Buenos Aires,-38.0064494189987,-57.5438377776641,alta,denominacion,1
38/19 - División Contrataciones del Cuartel General del EMGA,379 - Estado Mayor General de la Armada,seguridad_defensa,895,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
40/024 - UOC CRV,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,877,CABA,CABA,-34.6075,-58.4371,media,deepseek+georef,0
40/028 - AREA DE MATERIAL RIO IV,381 - Estado Mayor General de La Fuerza Aérea,seguridad_defensa,876,Río Cuarto,Córdoba,-33.1238369342208,-64.3490032179798,alta,deepseek+georef,1
64/000 - Departamento de Compras y Contrataciones- SRT,852 - Superintendencia de Riesgos del Trabajo,administracion,872,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
95/000 - Dirección de Administración de Niñez; Adolescencia y Familia - SENNAF,311 - Ministerio de Desarrollo Social,salud_social,872,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/18 - Division Contrataciones - Comando de Transportes Navales,379 - Estado Mayor General de la Armada,seguridad_defensa,863,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
55 - Gerencia de Administración- Área de Compras y Contrataciones,651 - Ente Nacional Regulador del Gas,administracion,854,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
84/21 - Comando Brigada Mecanizada XI,374 - Estado Mayor General del Ejercito,seguridad_defensa,849,Río Gallegos,Santa Cruz,-51.6234632663739,-69.2158645331237,alta,manual,1
82 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN,330 - SECRETARIA DE EDUCACIÓN – MINISTERIO DE CAPITAL HUMANO,cultura_educacion,844,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
15 - Subgerencia de Compras y Contrataciones,106 - Comisión Nacional de Actividades Espaciales,ciencia_universidad,841,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
16/000 - Dirección General de Administración-ARN,112 - Autoridad Regulatoria Nuclear,ciencia_universidad,832,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
347/000 - Dirección General de Administración - MS,343 - Ministerio de Seguridad,seguridad_defensa,823,CABA,CABA,-34.6075,-58.4371,alta,deepseek+georef,0
38/25 - Base Aeronaval Comandante espora,379 - Estado Mayor General de la Armada,seguridad_defensa,821,Bahía Blanca,Buenos Aires,-38.7227702772442,-62.2727419998288,alta,deepseek+georef,1
