"ground","rubro_principal","adjudicaciones","total","pct"
"especialidad","SERV. PROFESIONAL Y COMERCIAL",637,835,76.3
"especialidad","MANT. REPARACION Y LIMPIEZA",51,835,6.1
"especialidad","SERVICIO DE NOTICIAS",39,835,4.7
"especialidad","LIBRERIA PAP. Y UTILES OFICINA",27,835,3.2
"especialidad","EQUIPOS",13,835,1.6
"exclusividad","SERV. PROFESIONAL Y COMERCIAL",919,2921,31.5
"exclusividad","MANT. REPARACION Y LIMPIEZA",540,2921,18.5
"exclusividad","LIBRERIA PAP. Y UTILES OFICINA",259,2921,8.9
"exclusividad","PROD. MEDICO/FARMACEUTICOS/LAB",207,2921,7.1
"exclusividad","REPUESTOS",133,2921,4.6
