"lado","variable","eje","categoria","n","media","vtest","r2_variable"
"unidad","sede_provincia","f1","Buenos Aires",73,-0.283,-0.5,0.444
"unidad","sede_provincia","f1","CABA",178,0.262,13.3,0.444
"unidad","sede_provincia","f1","Catamarca",5,-0.646,-1.4,0.444
"unidad","sede_provincia","f1","Chaco",10,-0.775,-2.6,0.444
"unidad","sede_provincia","f1","Chubut",13,-0.712,-2.6,0.444
"unidad","sede_provincia","f1","Córdoba",21,-0.648,-2.9,0.444
"unidad","sede_provincia","f1","Corrientes",11,-0.845,-3.1,0.444
"unidad","sede_provincia","f1","Entre Ríos",9,-0.692,-2,0.444
"unidad","sede_provincia","f1","Formosa",9,-0.885,-2.9,0.444
"unidad","sede_provincia","f1","Jujuy",6,-0.679,-1.6,0.444
"unidad","sede_provincia","f1","La Pampa",2,-0.417,-0.4,0.444
"unidad","sede_provincia","f1","La Rioja",4,-0.785,-1.6,0.444
"unidad","sede_provincia","f1","Mendoza",11,-0.559,-1.6,0.444
"unidad","sede_provincia","f1","Misiones",16,-0.764,-3.2,0.444
"unidad","sede_provincia","f1","Neuquén",11,-0.714,-2.4,0.444
"unidad","sede_provincia","f1","Río Negro",8,-0.597,-1.5,0.444
"unidad","sede_provincia","f1","Salta",13,-0.659,-2.3,0.444
"unidad","sede_provincia","f1","San Juan",7,-0.638,-1.6,0.444
"unidad","sede_provincia","f1","San Luis",3,-0.629,-1,0.444
"unidad","sede_provincia","f1","Santa Cruz",16,-0.575,-2,0.444
"unidad","sede_provincia","f1","Santa Fe",12,-0.737,-2.6,0.444
"unidad","sede_provincia","f1","Santiago del Estero",4,-0.574,-1,0.444
"unidad","sede_provincia","f1","Tierra del Fuego",7,-0.582,-1.4,0.444
"unidad","sede_provincia","f1","Tucumán",6,-0.59,-1.3,0.444
"unidad","sede_provincia","f2","Buenos Aires",73,0.091,3.3,0.069
"unidad","sede_provincia","f2","CABA",178,-0.215,-5,0.069
"unidad","sede_provincia","f2","Catamarca",5,-0.028,0.2,0.069
"unidad","sede_provincia","f2","Chaco",10,-0.041,0.2,0.069
"unidad","sede_provincia","f2","Chubut",13,-0.03,0.4,0.069
"unidad","sede_provincia","f2","Córdoba",21,0.105,1.8,0.069
"unidad","sede_provincia","f2","Corrientes",11,-0.038,0.3,0.069
"unidad","sede_provincia","f2","Entre Ríos",9,0.022,0.6,0.069
"unidad","sede_provincia","f2","Formosa",9,-0.039,0.2,0.069
"unidad","sede_provincia","f2","Jujuy",6,-0.079,0,0.069
"unidad","sede_provincia","f2","La Pampa",2,-0.155,-0.2,0.069
"unidad","sede_provincia","f2","La Rioja",4,-0.028,0.2,0.069
"unidad","sede_provincia","f2","Mendoza",11,0.124,1.4,0.069
"unidad","sede_provincia","f2","Misiones",16,-0.055,0.2,0.069
"unidad","sede_provincia","f2","Neuquén",11,-0.002,0.5,0.069
"unidad","sede_provincia","f2","Río Negro",8,-0.06,0.1,0.069
"unidad","sede_provincia","f2","Salta",13,-0.007,0.5,0.069
"unidad","sede_provincia","f2","San Juan",7,-0.024,0.3,0.069
"unidad","sede_provincia","f2","San Luis",3,-0.086,0,0.069
"unidad","sede_provincia","f2","Santa Cruz",16,-0.062,0.1,0.069
"unidad","sede_provincia","f2","Santa Fe",12,-0.019,0.4,0.069
"unidad","sede_provincia","f2","Santiago del Estero",4,-0.023,0.2,0.069
"unidad","sede_provincia","f2","Tierra del Fuego",7,-0.102,-0.1,0.069
"unidad","sede_provincia","f2","Tucumán",6,-0.035,0.2,0.069
"unidad","sede_provincia","f3","Buenos Aires",73,-0.159,-2.6,0.221
"unidad","sede_provincia","f3","CABA",178,0.351,9.7,0.221
"unidad","sede_provincia","f3","Catamarca",5,-0.171,-0.7,0.221
"unidad","sede_provincia","f3","Chaco",10,-0.271,-1.5,0.221
"unidad","sede_provincia","f3","Chubut",13,-0.233,-1.5,0.221
"unidad","sede_provincia","f3","Córdoba",21,-0.341,-2.7,0.221
"unidad","sede_provincia","f3","Corrientes",11,-0.318,-1.8,0.221
"unidad","sede_provincia","f3","Entre Ríos",9,-0.316,-1.6,0.221
"unidad","sede_provincia","f3","Formosa",9,-0.321,-1.7,0.221
"unidad","sede_provincia","f3","Jujuy",6,-0.109,-0.5,0.221
"unidad","sede_provincia","f3","La Pampa",2,0.11,0.2,0.221
"unidad","sede_provincia","f3","La Rioja",4,-0.256,-0.9,0.221
"unidad","sede_provincia","f3","Mendoza",11,-0.276,-1.6,0.221
"unidad","sede_provincia","f3","Misiones",16,-0.231,-1.6,0.221
"unidad","sede_provincia","f3","Neuquén",11,-0.287,-1.7,0.221
"unidad","sede_provincia","f3","Río Negro",8,-0.082,-0.4,0.221
"unidad","sede_provincia","f3","Salta",13,-0.255,-1.6,0.221
"unidad","sede_provincia","f3","San Juan",7,-0.194,-0.9,0.221
"unidad","sede_provincia","f3","San Luis",3,-0.099,-0.3,0.221
"unidad","sede_provincia","f3","Santa Cruz",16,-0.104,-0.8,0.221
"unidad","sede_provincia","f3","Santa Fe",12,-0.287,-1.7,0.221
"unidad","sede_provincia","f3","Santiago del Estero",4,-0.167,-0.6,0.221
