"polo","unidad","organo","anio_fundacion","sede","rubro_modal","n_sup","f1"
"deployed end","Escuadrón 58 La Rioja","Gendarmeria Nacional",1938,"La Rioja","REPUESTOS",22,-1.39
"deployed end","SERVICIO ADMINISTRATIVO FINANCIERO DESCONCENTRADO ESCUADRÓN 65 CORDOBA","Gendarmeria Nacional",1938,"Sinsacate, Córdoba","ELECTRICIDAD Y TELEFONIA",35,-1.38
"deployed end","Destacamento Movil 3","Gendarmeria Nacional",1938,"no localizada","REPUESTOS",35,-1.29
"deployed end","Escuadrón 10 Eldorado","Gendarmeria Nacional",1938,"Eldorado, Misiones","REPUESTOS",69,-1.29
"deployed end","Jefatura De Agrupación VIFormosa","Gendarmeria Nacional",1938,"Formosa","REPUESTOS",46,-1.28
"administrative end","Dirección General de Administración - MS","Secretaría de Gobierno de Salud",1949,"CABA","PROD. MEDICO/FARMACEUTICOS/LAB",270,3.88
"administrative end","Dirección de Administración de Niñez; Adolescencia y Familia - SENNAF","Ministerio de Salud y Desarrollo Social",2019,"CABA","ALIMENTOS",412,3.72
"administrative end","División Compras y Suministros","Superintendencia de Bienestar de la Policia Federal Argentina",1973,"CABA","PROD. MEDICO/FARMACEUTICOS/LAB",321,2.79
"administrative end","Compras y Contrataciones Internacionales - MSYDS","Ministerio de Salud",1949,"CABA","PROD. MEDICO/FARMACEUTICOS/LAB",22,2.51
"administrative end","Dirección General de Administración","Hospital Nacional Dr. Alejandro Posadas",1957,"El Palomar, Buenos Aires","PROD. MEDICO/FARMACEUTICOS/LAB",412,2.08
