"categoria","dim1","ctr1"
"N_rango.desconcentrada",-0.597,7.2
"N_juris.Buenos Aires",-0.572,1.8
"N_distribuido.distribuido",-0.495,6.3
"N_presupuesto.alto",-0.415,3.9
"N_fundacion.antiguo",-0.371,3.8
"N_tamano.chica",-0.228,0.6
"N_tamano.grande",0.061,0
"N_tamano.media",0.164,0.3
"N_presupuesto.medio",0.48,1.7
"N_juris.CABA",0.768,7.4
"N_rango.descentralizada",0.817,7
"N_rango.centralizada",1.677,5.8
"N_distribuido.una_sede",1.721,21.8
"N_fundacion.medio",1.763,9.5
"N_fundacion.reciente",2.108,10.2
"N_presupuesto.bajo",2.176,12.7
