"jurisdiccion","n","coef_vs_capital","se","p"
"Formosa",9,-0.2471,0.0375,0
"San Juan",7,-0.1808,0.0422,0
"Chaco",10,-0.1739,0.0355,0
"Chubut",13,-0.1583,0.0317,0
"Tucumán",6,-0.1568,0.0448,5e-04
"Misiones",16,-0.1553,0.0292,0
"La Rioja",4,-0.1424,0.0543,0.0091
"Santa Fe",11,-0.1407,0.034,0
"Santa Cruz",16,-0.1231,0.0297,0
"Jujuy",6,-0.1168,0.0447,0.0094
"Mendoza",11,-0.1155,0.0334,6e-04
"Entre Ríos",9,-0.1082,0.0373,0.0039
"Río Negro",8,-0.1029,0.0395,0.0096
"Catamarca",5,-0.0996,0.0489,0.0421
"Corrientes",11,-0.0974,0.0348,0.0054
"Salta",13,-0.0897,0.0318,0.0051
"Córdoba",19,-0.0866,0.0271,0.0015
"Neuquén",11,-0.0864,0.0337,0.0108
"La Pampa",2,-0.0787,0.0761,0.302
"Tierra del Fuego",7,-0.0655,0.0415,0.1152
"Santiago del Estero",4,-0.0623,0.0543,0.2527
"Buenos Aires",73,-0.0328,0.0163,0.0451
"San Luis",3,0.0017,0.0629,0.9783
