"jurisdiccion","n_en_test","coef_vs_capital","se","p"
"Formosa",9,-0.2265,0.0372,0
"Chaco",10,-0.1677,0.0351,0
"San Juan",7,-0.1639,0.0418,1e-04
"Chubut",13,-0.1469,0.0315,0
"Misiones",16,-0.1435,0.0291,0
"Tucumán",5,-0.1399,0.0481,0.0039
"Santa Fe",11,-0.1318,0.0338,1e-04
"Río Negro",7,-0.1261,0.0412,0.0024
"La Rioja",4,-0.1214,0.0536,0.0242
"Santa Cruz",16,-0.1121,0.0294,2e-04
"Mendoza",10,-0.1054,0.0346,0.0025
"Jujuy",6,-0.1002,0.044,0.0235
"Catamarca",5,-0.0981,0.0479,0.0416
"Entre Ríos",9,-0.0951,0.037,0.0107
"Córdoba",19,-0.0936,0.0273,7e-04
"Corrientes",11,-0.0878,0.0346,0.0116
"Santiago del Estero",4,-0.0829,0.0537,0.1238
"Neuquén",11,-0.0807,0.0333,0.016
"La Pampa",2,-0.0804,0.0746,0.2819
"Salta",13,-0.0803,0.0318,0.0121
"Tierra del Fuego",7,-0.0679,0.041,0.0988
"San Luis",3,-0.0445,0.0624,0.4766
"Buenos Aires",64,-0.0428,0.0175,0.0152
