"jurisdiccion","unidades","acceso"
"Formosa",9,-0.218
"San Juan",7,-0.13
"Misiones",16,-0.099
"Chaco",10,-0.093
"Santa Fe",12,-0.076
"La Rioja",4,-0.072
"Chubut",13,-0.062
"Tucumán",6,-0.05
"Santiago del Estero",4,-0.049
"Mendoza",11,-0.048
"Salta",13,-0.048
"Corrientes",11,-0.046
"Jujuy",6,-0.034
"Neuquén",11,-0.028
"Entre Ríos",9,-0.027
"Catamarca",5,-0.021
"Santa Cruz",16,-0.017
"Río Negro",8,0
"Córdoba",21,0.005
"Tierra del Fuego",7,0.022
"La Pampa",2,0.059
"Buenos Aires",73,0.072
"San Luis",3,0.073
"CABA",179,0.205
