"sede_localidad","sede_provincia","unidades","acceso","lat","lon","fuente"
"CABA","CABA",179,0.205,-34.6075,-58.4371,"gacetero"
"Campo de Mayo","Buenos Aires",19,0.052,-34.5550627752485,-58.6522136037965,"gacetero"
"Córdoba","Córdoba",12,0.049,-31.4150461523809,-64.1791140755104,"gacetero"
"Mendoza","Mendoza",8,0.002,-32.8897325533642,-68.8444442314254,"gacetero"
"Mar del Plata","Buenos Aires",7,0.081,-38.0064494189987,-57.5438377776641,"gacetero"
"Río Gallegos","Santa Cruz",7,-0.049,-51.6234632663739,-69.2158645331237,"gacetero"
"Posadas","Misiones",6,-0.037,-27.3664259799962,-55.8939802751923,"gacetero"
"Bahía Blanca","Buenos Aires",5,0.053,-38.7227702772442,-62.2727419998288,"gacetero"
"El Palomar","Buenos Aires",5,0.122,-34.6108556165017,-58.5956810077115,"gacetero"
"Paraná","Entre Ríos",5,0.02,-31.7401601621031,-60.5274260494443,"gacetero"
"Punta Alta","Buenos Aires",5,0.145,-38.8781733532983,-62.0794804613607,"gacetero"
"Resistencia","Chaco",5,-0.059,-27.4510757112285,-58.9864835287395,"gacetero"
"Salta","Salta",5,-0.014,-24.7831983811283,-65.4102509654276,"gacetero"
"Santa Fe","Santa Fe",5,-0.021,-31.6574749533861,-60.7104784410123,"gacetero"
"Ushuaia","Tierra del Fuego",5,0.055,-54.8074039816905,-68.3037571781958,"gacetero"
"Corrientes","Corrientes",4,-0.099,-27.4633450136008,-58.8394728460849,"gacetero"
"Formosa","Formosa",4,-0.211,-26.185008983147,-58.1748964834654,"gacetero"
"San Carlos de Bariloche","Río Negro",4,0.003,-41.1358081611304,-71.3043392567773,"gacetero"
"San Martín de los Andes","Neuquén",4,-0.006,-40.1569379390652,-71.352714325536,"gacetero"
"San Miguel de Tucumán","Tucumán",4,-0.007,-26.8303887617109,-65.2037797033494,"gacetero"
"Santiago del Estero","Santiago del Estero",4,-0.049,-27.787684474002,-64.259668066644,"gacetero"
"Comodoro Rivadavia","Chubut",3,-0.09,-45.8625644045819,-67.494000786158,"gacetero"
