"variable","categoria","n","share","rara"
"A_escala","chica",51,0.336,FALSE
"A_escala","grande",50,0.329,FALSE
"A_escala","media",50,0.329,FALSE
"A_escala","sin_ars",1,0.007,TRUE
"A_directa","mayoria_directa",63,0.414,FALSE
"A_directa","mixto",81,0.533,FALSE
"A_directa","sin_directa",8,0.053,FALSE
"A_tipo","administracion",67,0.441,FALSE
"A_tipo","ciencia_universidad",16,0.105,FALSE
"A_tipo","cultura_educacion",10,0.066,FALSE
"A_tipo","infraestructura",8,0.053,FALSE
"A_tipo","salud_social",32,0.211,FALSE
"A_tipo","seguridad_defensa",19,0.125,FALSE
"A_cohorte","2019_21",37,0.243,FALSE
"A_cohorte","2022plus",6,0.039,TRUE
"A_cohorte","pre2019",109,0.717,FALSE
"A_anclaje","alto",10,0.066,FALSE
"A_anclaje","bajo",137,0.901,FALSE
"A_anclaje",NA,5,0.033,TRUE
"A_alcance","corto",123,0.809,FALSE
"A_alcance","largo",24,0.158,FALSE
"A_alcance",NA,5,0.033,TRUE
