"categoria","n","dim.1","dim.2","dim.3","ctr.dim.1","ctr.dim.2","ctr.dim.3","cos2.dim.1","cos2.dim.2","cos2.dim.3"
"A_escala.chica",51,-1.13,0.18,-0.4,24.5,0.7,4.3,0.639,0.016,0.079
"A_escala.grande",50,0.77,-0.77,-0.45,11.2,13.8,5.4,0.289,0.291,0.099
"A_escala.media",50,0.38,0.57,0.89,2.7,7.5,21.1,0.069,0.158,0.385
"A_directa.mayoria_directa",63,-0.57,0.62,0.31,7.8,11.2,3.4,0.23,0.271,0.07
"A_directa.mixto",81,0.49,-0.61,0.02,7.4,14.1,0,0.274,0.428,0
"A_directa.sin_directa",8,-0.47,1.33,-2.67,0.7,6.6,30.7,0.012,0.098,0.397
"A_tipo.administracion",67,0.35,0.43,0,3,5.8,0,0.094,0.148,0
"A_tipo.ciencia_universidad",16,-0.41,0.37,0.86,1,1,6.4,0.02,0.016,0.087
"A_tipo.cultura_educacion",10,0.18,0.85,-0.07,0.1,3.3,0,0.002,0.051,0
"A_tipo.infraestructura",8,-0.23,-0.72,-0.13,0.2,1.9,0.1,0.003,0.029,0.001
"A_tipo.salud_social",32,0.1,-0.24,-0.74,0.1,0.9,9.4,0.003,0.016,0.146
"A_tipo.seguridad_defensa",19,-1.04,-1.58,0.62,7.9,21.9,4,0.156,0.355,0.055
"A_cohorte.2019_21",37,0.49,-0.12,0.71,3.3,0.2,10.1,0.076,0.004,0.163
"A_cohorte.pre2019",109,-0.17,0.04,-0.21,1.2,0.1,2.7,0.076,0.004,0.117
"A_anclaje.multi_sede",10,-2.66,-1.5,0.61,26.9,10.5,2,0.499,0.159,0.026
"A_anclaje.una_sede",137,0.2,0.09,-0.07,2.1,0.6,0.4,0.377,0.079,0.044
