"saf_id","n_adj","tipo","med_real","share_directa","min_ej","n_loc","med_km","presupuesto","estructura","dotacion","A_escala","A_directa","A_tipo","A_cohorte","A_anclaje","A_institucional","A_presupuesto","S_dotacion"
"101",384,"ciencia_universidad",1233117.19834313,0.864583333333333,2018,NA,NA,2828.044712,"administracion_descentralizada",278,"chica","mayoria_directa","ciencia_universidad","pre2019","sin_geo","administracion_descentralizada","bajo","1"
"103",107,"ciencia_universidad",2602464.50709653,0.803738317757009,2018,1,0,199560.966647,"administracion_descentralizada",26446,"chica","mayoria_directa","ciencia_universidad","pre2019","una_sede","administracion_descentralizada","alto","3"
"105",5077,"ciencia_universidad",2430693.36428967,0.734094937955486,2018,4,28.5981641553281,90490.344035,"administracion_descentralizada",3924,"chica","mayoria_directa","ciencia_universidad","pre2019","multi_sede","administracion_descentralizada","alto","3"
"106",661,"ciencia_universidad",8367549.44,0.46142208774584,2018,1,0,19600.047784,"administracion_descentralizada",272,"media","mixto","ciencia_universidad","pre2019","una_sede","administracion_descentralizada","medio","1"
"107",5414,"administracion",1867160.10979441,0.0443295160694496,2018,18,450.855231174589,33199.958968,"administracion_descentralizada",2079,"chica","mixto","administracion","pre2019","multi_sede","administracion_descentralizada","medio","3"
"108",330,"ciencia_universidad",5976734.60197165,0.0181818181818182,2019,NA,NA,3031.507641,"administracion_descentralizada",279,"media","mixto","ciencia_universidad","2019_21","sin_geo","administracion_descentralizada","bajo","1"
"109",333,"administracion",2171178.32883828,0.726726726726727,2016,1,0,7194.460006,"administracion_descentralizada",512,"chica","mayoria_directa","administracion","pre2019","una_sede","administracion_descentralizada","medio","2"
"112",737,"ciencia_universidad",2317902.18703783,0.492537313432836,2017,1,0,6247.954762,"administracion_descentralizada",355,"chica","mixto","ciencia_universidad","pre2019","una_sede","administracion_descentralizada","bajo","2"
"113",731,"cultura_educacion",1481057.78782845,0.785225718194254,2018,1,0,3310.82036,"administracion_descentralizada",378,"chica","mayoria_directa","cultura_educacion","pre2019","una_sede","administracion_descentralizada","bajo","2"
"114",238,"administracion",4800000,0.247899159663866,2017,1,0,14371.661215,"administracion_descentralizada",498,"media","mixto","administracion","pre2019","una_sede","administracion_descentralizada","medio","2"
"116",521,"cultura_educacion",7925287,0.64299424184261,2018,1,0,12841.625466,"administracion_descentralizada",777,"media","mayoria_directa","cultura_educacion","pre2019","una_sede","administracion_descentralizada","medio","2"
"117",81,"cultura_educacion",4554863.16215242,0.617283950617284,2018,1,0,3104.714299,"administracion_descentralizada",174,"media","mayoria_directa","cultura_educacion","pre2019","una_sede","administracion_descentralizada","bajo","1"
"118",15,"salud_social",21113523.1657199,0.533333333333333,2017,1,0,2357.352003,"administracion_descentralizada",181,"grande","mayoria_directa","salud_social","pre2019","una_sede","administracion_descentralizada","bajo","1"
"120",34,"administracion",12142000.8992225,0.411764705882353,2019,1,0,NA,"administracion_descentralizada",NA,"grande","mixto","administracion","2019_21","una_sede","administracion_descentralizada","sin_presupuesto","sin_dato"
