"uoc_id","uoc","saf_id","organismo","tipo","rubro_modal","anclado","n_adj","n_sup","escala_med","share_directa","acceso","contenido","sede_localidad","sede_provincia","anio_fundacion","credito_vigente","estructura","n_sedes","P_antiguedad","P_presupuesto","A_escala","A_directa","A_tipo","A_antiguedad","A_juris","A_rango","A_presupuesto","N_distribuido","N_tamano"
"101|98/00 - Dir. Compras","98/00 - Dir. Compras","101","101 - Fundación Miguel Lillo","ciencia_universidad","ELECTRICIDAD Y TELEFONIA",FALSE,384,194,1233117.19834313,0.864583333333333,0.0913760609081057,-0.463123433130391,"San Miguel de Tucumán","Tucumán",1931,6804.703921,"administracion_descentralizada",1,"antiguo","bajo","chica","mayoria_directa","ciencia_universidad","antiguo","Tucumán","descentralizada","bajo","una_sede","grande"
"103|91/00 - Departamento de Compras; Mantenimiento y Suministros","91/00 - Departamento de Compras; Mantenimiento y Suministros","103","103 - Consejo Nacional de Investigaciones Científicas y Técnicas","ciencia_universidad","ARTICULOS DEL HOGAR",FALSE,107,77,2602464.50709653,0.803738317757009,0.179231850231006,-0.428392179902465,"CABA","CABA",1958,507413.443501,"administracion_descentralizada",1,"medio","alto","media","mayoria_directa","ciencia_universidad","medio","CABA","descentralizada","alto","una_sede","media"
"105|14 - Compras y Contrataciones - CNEA","14 - Compras y Contrataciones - CNEA","105","105 - Comisión Nacional de Energía Atómica","ciencia_universidad","EQUIPOS",FALSE,1214,517,3353427.20345382,0.715815485996705,0.259770549017032,-0.379205224828069,"CABA","CABA",1950,206735.123078,"administracion_descentralizada",4,"medio","alto","media","mayoria_directa","ciencia_universidad","medio","CABA","descentralizada","alto","distribuido","grande"
"105|14/1 - Centro Atómico Constituyentes - CNEA","14/1 - Centro Atómico Constituyentes - CNEA","105","105 - Comisión Nacional de Energía Atómica","ciencia_universidad","EQUIPOS",FALSE,838,325,2490305,0.750596658711217,0.322480392035533,-0.320752632840152,"Villa Maipú","Buenos Aires",1950,206735.123078,"administracion_descentralizada",4,"medio","alto","media","mayoria_directa","ciencia_universidad","medio","Buenos Aires","descentralizada","alto","distribuido","grande"
"105|14/2 - Centro Atómico Ezeiza - CNEA","14/2 - Centro Atómico Ezeiza - CNEA","105","105 - Comisión Nacional de Energía Atómica","ciencia_universidad","EQUIPOS",FALSE,1236,460,1944425.95745399,0.830097087378641,0.231725001547306,-0.429728139504836,"Ezeiza","Buenos Aires",1950,206735.123078,"administracion_descentralizada",4,"medio","alto","media","mayoria_directa","ciencia_universidad","medio","Buenos Aires","descentralizada","alto","distribuido","grande"
"105|14/3 - Centro Atómico Bariloche - CNEA","14/3 - Centro Atómico Bariloche - CNEA","105","105 - Comisión Nacional de Energía Atómica","ciencia_universidad","ELECTRICIDAD Y TELEFONIA",FALSE,1765,476,2263501.99331973,0.670254957507082,0.218630194528035,-0.502181570000199,"San Carlos de Bariloche","Río Negro",1950,206735.123078,"administracion_descentralizada",4,"medio","alto","media","mayoria_directa","ciencia_universidad","medio","Río Negro","descentralizada","alto","distribuido","grande"
"106|15 - Subgerencia de Compras y Contrataciones","15 - Subgerencia de Compras y Contrataciones","106","106 - Comisión Nacional de Actividades Espaciales","ciencia_universidad","SERV. PROFESIONAL Y COMERCIAL",FALSE,655,333,8367549.44,0.459541984732824,0.423459730999053,-0.231204310953808,"CABA","CABA",1991,66402.817327,"administracion_descentralizada",1,"medio","medio","grande","mixto","ciencia_universidad","medio","CABA","descentralizada","medio","una_sede","grande"
"107|74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES","74/00 - ADMINISTRACIÓN DE PARQUES NACIONALES - COORDINACIÓN DE CONTRATACIONES","107","107 - Administración de Parques Nacionales","administracion","EQUIPOS",TRUE,431,224,8721479.02214782,0.306264501160093,0.368325607771122,-0.195448581414183,"CABA","CABA",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","grande","mixto","administracion","antiguo","CABA","descentralizada","medio","distribuido","grande"
"107|74/003 - Parque Nacional Lanin","74/003 - Parque Nacional Lanin","107","107 - Administración de Parques Nacionales","administracion","ELECTRICIDAD Y TELEFONIA",TRUE,297,174,2806832.46074963,0.0471380471380471,0.0510859178694646,-0.433386804958779,"San Martín de los Andes","Neuquén",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","media","mixto","administracion","antiguo","Neuquén","descentralizada","medio","distribuido","media"
"107|74/01 - Departamento de Administracion  - Parque Nacional Nahuel Huapi","74/01 - Departamento de Administracion  - Parque Nacional Nahuel Huapi","107","107 - Administración de Parques Nacionales","administracion","EQUIPOS",TRUE,333,167,4881342.24628852,0.027027027027027,0.0210343772057132,-0.389754054604758,"San Carlos de Bariloche","Río Negro",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","grande","mixto","administracion","antiguo","Río Negro","descentralizada","medio","distribuido","media"
"107|74/02 - IGUAZU- OFICINA DE ADMINISTRACION","74/02 - IGUAZU- OFICINA DE ADMINISTRACION","107","107 - Administración de Parques Nacionales","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,206,89,3538076.24335418,0.0970873786407767,-0.00129524760356872,-0.439018178017468,"Puerto Iguazú","Misiones",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","media","mixto","administracion","antiguo","Misiones","descentralizada","medio","distribuido","media"
"107|74/04 - Parque Nacional Los Alerces","74/04 - Parque Nacional Los Alerces","107","107 - Administración de Parques Nacionales","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,177,99,4189670.30709215,0.0282485875706215,-0.0127111137143554,-0.419522541439438,"Esquel","Chubut",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","grande","mixto","administracion","antiguo","Chubut","descentralizada","medio","distribuido","media"
"107|74/05 - Parque Nacional El Rey","74/05 - Parque Nacional El Rey","107","107 - Administración de Parques Nacionales","administracion","REPUESTOS",TRUE,46,39,1240131.13697985,0,0.162646350991089,-0.589056372767265,"Embarcación","Salta",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","chica","sin_directa","administracion","antiguo","Salta","descentralizada","medio","distribuido","chica"
"107|74/07 - INTENDENCIA TIERRA DEL FUEGO","74/07 - INTENDENCIA TIERRA DEL FUEGO","107","107 - Administración de Parques Nacionales","administracion","MANT. REPARACION Y LIMPIEZA",TRUE,32,21,3007629.85574879,0.0625,0.148780927934712,-0.325108557211171,"Ushuaia","Tierra del Fuego",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","media","mixto","administracion","antiguo","Tierra del Fuego","descentralizada","medio","distribuido","chica"
"107|74/09 - INTENDENCIA LAGO PUELO","74/09 - INTENDENCIA LAGO PUELO","107","107 - Administración de Parques Nacionales","administracion","EQUIPOS",TRUE,111,70,1316029.31397425,0.045045045045045,-0.00895217092293344,-0.469703958475209,"Lago Puelo","Chubut",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","chica","mixto","administracion","antiguo","Chubut","descentralizada","medio","distribuido","media"
"107|74/10 - INTENDENCIA EL PALMAR","74/10 - INTENDENCIA EL PALMAR","107","107 - Administración de Parques Nacionales","administracion","EQUIPOS",TRUE,219,128,1640756.05875665,0.0273972602739726,0.0950380007845628,-0.559917638810345,"Concordia","Entre Ríos",1934,73596.265501,"administracion_descentralizada",48,"antiguo","medio","media","mixto","administracion","antiguo","Entre Ríos","descentralizada","medio","distribuido","media"
